StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
1	49	0	2	0	2003.5041
1	21	0	3	1	1636.4092
1	30	0	5	1	1920.0735
1	16	0	2	0	2036.8764
1	36	1	4	1	2904.5554
1	65	1	5	1	2637.5772
1	52	1	5	1	1436.1756
1	77	1	5	1	101.2849
1	93	0	5	1	1603.0369
1	97	1	1	0	1536.2924
1	42	1	1	0	2420.6575
1	30	1	3	1	2654.2634
1	81	0	4	1	1603.0369
1	81	0	4	1	2036.8764
1	99	1	1	1	1669.7815
1	13	0	1	0	2103.621
1	83	1	3	1	1970.1319
1	79	1	5	1	1920.0735
1	54	1	1	0	1753.2121
1	92	0	1	0	2454.0298
1	35	1	2	1	2670.9495
1	14	0	4	1	1970.1319
1	9	1	5	1	2387.2852
1	55	0	2	0	2821.1247
1	80	0	4	1	1736.526
1	87	1	3	0	2403.9714
1	40	0	5	1	2353.913
1	59	0	4	1	1636.4092
1	55	0	1	0	1502.9201
1	21	1	1	1	2704.3218
1	76	1	2	0	2187.0516
1	70	1	5	1	151.3433
1	41	1	4	1	2070.2487
1	42	0	3	1	2253.7962
1	10	1	5	1	1870.0151
1	61	1	4	0	2604.205
1	13	0	5	1	1286.0004
1	49	0	1	0	1703.1537
1	55	1	3	1	2320.5407
1	66	1	2	0	2003.5041
1	65	0	2	0	1970.1319
1	91	0	3	1	2721.0079
1	8	1	3	1	2520.7743
1	87	1	3	1	2670.9495
1	61	1	5	1	2320.5407
1	33	1	3	0	2086.9348
1	28	1	4	0	2337.2268
1	9	1	1	0	1469.5479
1	73	1	4	1	1319.3726
1	37	0	4	1	2337.2268
1	19	0	2	0	2487.402
1	89	0	2	1	2587.5188
1	38	0	5	1	852.1609
1	21	1	4	1	1452.8617
1	65	1	3	0	2170.3655
1	20	0	4	1	2203.7378
1	47	1	3	1	2487.402
1	58	0	3	0	2303.8546
1	68	1	1	0	2337.2268
1	30	0	4	1	2403.9714
1	83	0	2	0	2220.4239
1	2	1	4	1	1636.4092
1	12	0	5	1	2554.1466
1	49	0	3	1	1753.2121
1	62	1	1	0	1369.431
1	27	1	1	0	1819.9567
1	7	1	5	1	785.4164
1	19	1	2	1	2020.1903
1	39	0	5	1	2187.0516
1	23	0	2	1	2220.4239
1	2	1	2	0	2287.1684
1	20	0	1	0	2270.4823
1	84	0	5	1	1135.8252
1	84	0	2	1	2103.621
1	91	0	3	0	2537.4604
1	29	0	3	1	2871.1831
1	68	1	4	1	2403.9714
1	73	0	1	0	918.9054
1	97	0	1	0	1736.526
1	94	1	2	0	1436.1756
1	23	1	2	0	2320.5407
1	41	1	2	0	902.2193
1	75	1	2	0	1619.7231
1	30	0	3	1	835.4748
1	40	0	4	1	1436.1756
1	70	1	4	1	1719.8399
1	89	0	5	1	1019.0222
1	65	0	1	0	1252.6281
1	78	0	3	1	985.65
2	26	0	1	0	2854.497
2	51	0	4	1	1819.9567
2	48	1	1	0	1119.139
2	17	1	5	0	1686.4676
2	46	0	5	1	1920.0735
2	36	1	4	1	1636.4092
2	29	1	5	1	1569.6647
2	76	0	3	1	1586.3508
2	26	0	2	0	2587.5188
2	83	0	5	1	1319.3726
2	49	1	5	1	2854.497
2	60	0	1	0	1719.8399
2	54	0	5	1	1569.6647
2	36	1	3	0	2320.5407
2	70	0	2	0	2270.4823
2	27	1	3	1	1286.0004
2	86	0	3	1	1936.7596
2	17	1	1	0	2253.7962
2	65	0	3	1	1819.9567
2	57	0	1	0	1035.7084
2	3	1	4	1	1469.5479
2	3	1	5	1	1402.8033
2	14	1	2	0	2170.3655
2	36	0	4	1	1352.7449
2	35	0	2	0	1319.3726
2	63	0	2	0	1552.9785
2	28	0	1	0	1302.6865
2	11	0	1	0	1202.5697
2	79	0	4	1	735.358
2	6	0	4	1	1502.9201
2	31	0	5	1	1202.5697
2	16	1	3	1	1502.9201
2	40	0	3	0	1486.234
2	76	1	4	1	1035.7084
2	59	1	2	0	1819.9567
2	82	0	1	1	1319.3726
2	96	1	3	0	1202.5697
2	17	1	1	0	1853.3289
2	43	1	5	1	1135.8252
2	73	1	3	1	1603.0369
2	90	1	2	1	1619.7231
2	87	0	5	1	1686.4676
2	2	0	2	0	1936.7596
2	89	1	2	1	1836.6428
2	89	0	3	0	1903.3873
2	41	1	3	1	2403.9714
2	15	0	3	1	2387.2852
2	20	0	3	0	2954.6138
2	26	1	3	0	2504.0882
2	66	1	2	1	968.9638
2	95	1	3	0	2203.7378
2	25	0	2	0	1870.0151
2	75	1	4	1	1069.0806
2	21	0	3	0	2587.5188
2	39	1	2	1	1436.1756
2	15	1	2	0	1319.3726
2	56	1	4	1	1986.818
2	70	0	4	1	1936.7596
2	52	1	1	0	1653.0953
2	56	1	1	0	1886.7012
2	82	1	1	1	1736.526
2	24	1	2	0	2437.3436
2	77	0	4	1	1586.3508
2	99	0	5	1	1886.7012
2	50	0	5	1	1836.6428
2	95	0	2	0	1803.2705
2	78	1	5	1	685.2995
2	17	0	4	1	1235.942
2	92	1	5	0	1853.3289
2	72	1	1	1	1903.3873
2	95	0	1	0	1486.234
2	57	0	4	1	918.9054
2	28	1	4	1	2153.6794
2	86	0	2	0	2003.5041
2	5	0	1	1	1519.6063
2	43	0	3	0	1336.0588
2	52	0	2	1	1653.0953
2	8	0	5	1	1769.8983
2	99	1	2	0	1669.7815
2	39	1	3	1	1052.3945
2	19	1	4	1	1870.0151
2	83	0	1	0	968.9638
2	1	1	1	0	1920.0735
