StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
2	87	1	5	1	1949.5137
2	32	1	1	0	1916.1858
2	70	0	1	0	1049.662
2	65	0	5	1	916.3507
2	80	1	3	1	1449.5961
2	25	0	5	1	2149.4807
2	30	1	4	1	1849.5301
2	2	0	5	1	1499.5878
2	70	0	4	1	1266.293
2	2	0	3	1	816.3672
2	8	1	5	1	899.6868
2	79	1	2	0	1432.9322
2	53	0	3	1	2499.423
2	49	1	4	1	1799.5384
2	45	0	2	0	949.6785
2	5	1	3	1	1849.5301
2	40	1	1	0	683.0558
2	74	0	3	1	1516.2518
2	95	1	3	1	1132.9816
2	79	1	1	0	1082.9899
2	95	1	1	0	816.3672
2	20	0	1	0	1132.9816
2	81	0	5	1	816.3672
2	94	0	3	1	1049.662
2	47	1	5	1	966.3424
2	83	0	5	1	949.6785
2	43	1	2	0	899.6868
2	32	0	4	1	716.3837
2	62	1	5	1	766.3754
2	41	0	4	1	849.695
2	83	0	4	1	649.728
2	64	1	3	1	1466.26
2	50	0	4	1	1266.293
2	50	1	1	0	866.3589
2	94	1	4	1	1282.9569
2	78	0	5	1	899.6868
2	19	1	4	1	783.0393
2	48	1	5	1	733.0476
2	27	0	2	1	866.3589
2	47	0	1	0	933.0146
2	61	0	1	0	1082.9899
2	84	1	1	0	1932.8497
2	46	0	5	1	833.0311
2	18	1	3	1	666.3919
2	61	0	1	0	816.3672
2	18	0	2	0	866.3589
2	3	0	4	1	616.4001
2	10	1	2	0	1332.9487
2	83	1	4	1	1299.6208
2	12	1	5	1	1199.6373
2	52	1	4	1	1082.9899
2	26	0	4	1	983.0064
2	91	1	2	0	816.3672
2	49	0	2	0	633.0641
2	58	0	4	1	783.0393
2	16	1	2	0	749.7115
2	83	1	5	1	666.3919
2	12	0	3	0	733.0476
2	75	1	2	0	799.7032
2	3	1	1	0	916.3507
2	41	0	5	1	683.0558
2	21	1	2	0	1682.8909
2	75	0	4	1	966.3424
2	53	1	3	1	1616.2353
2	46	1	4	1	649.728
2	60	0	2	0	999.6703
2	3	0	2	0	1649.5631
2	5	1	1	0	783.0393
2	50	0	3	1	1416.2682
2	78	0	1	0	633.0641
2	60	1	2	0	1832.8662
2	81	0	2	0	916.3507
2	69	0	2	0	1049.662
2	25	1	3	1	733.0476
2	96	0	3	1	1082.9899
2	55	1	3	1	516.4166
2	81	0	2	0	2232.8003
2	39	1	1	0	733.0476
2	3	0	5	1	1699.5549
2	98	0	1	0	983.0064
2	25	0	1	0	649.728
2	85	1	5	1	599.7362
2	87	1	3	1	1716.2188
2	18	1	4	1	683.0558
2	6	1	5	1	683.0558
2	84	1	4	1	749.7115
2	13	0	1	0	933.0146
2	22	0	3	1	1349.6126
2	49	0	3	1	849.695
2	45	1	2	0	833.0311
1	59	0	3	1	2666.0622
1	10	1	5	1	883.0228
1	95	0	3	1	1482.9239
1	2	0	1	0	966.3424
1	83	1	5	1	1449.5961
1	24	1	2	0	2099.4889
1	64	1	5	1	1632.8992
1	94	1	2	0	1116.3177
1	24	0	5	1	666.3919
1	33	0	1	0	866.3589
1	0	0	4	1	1382.9404
1	36	1	3	1	949.6785
1	33	0	3	1	633.0641
1	75	1	4	1	1916.1858
1	54	0	5	1	833.0311
1	57	1	2	0	1232.9651
1	33	0	4	1	999.6703
1	29	1	1	0	816.3672
1	83	0	3	1	1249.6291
1	18	1	2	0	1649.5631
1	37	1	5	1	816.3672
1	28	0	2	0	916.3507
1	32	1	5	1	666.3919
1	59	1	4	1	1099.6538
1	90	1	2	0	2232.8003
1	91	0	5	1	666.3919
1	59	1	1	0	1466.26
1	45	0	1	0	2616.0704
1	57	0	1	0	816.3672
1	67	0	1	0	533.0805
