StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
3	98	Rejected	Keep $8, Give $2	Accept	1302.7955
3	54	Rejected	Keep $5, Give $5	Accept	1302.7955
3	22	Rejected	Keep $6, Give $4	Accept	1152.6132
3	99	Accepted	Keep $8, Give $2	Accept	1019.1178
3	3	Rejected	Keep $9, Give $1	Accept	702.0662
3	28	Accepted	Keep $6, Give $4	Accept	1102.5524
3	65	Rejected	Keep $8, Give $2	Accept	1002.4309
3	97	Accepted	Keep $7, Give $3	Accept	668.6924
3	70	Rejected	Keep $7, Give $3	Accept	702.0662
3	57	Rejected	Keep $7, Give $3	Accept	618.6316
3	92	Rejected	Keep $5, Give $5	Accept	685.3793
3	55	Accepted	Keep $8, Give $2	Accept	702.0662
3	10	Rejected	Keep $7, Give $3	Accept	451.7624
3	30	Accepted	Keep $7, Give $3	Accept	501.8231
3	53	Rejected	Keep $6, Give $4	Accept	318.267
3	89	Accepted	Keep $6, Give $4	Accept	318.267
3	85	Rejected	Keep $6, Give $4	Accept	451.7624
3	67	Accepted	Keep $9, Give $1	Accept	668.6924
3	28	Rejected	Keep $8, Give $2	Accept	718.7532
3	26	Accepted	Keep $5, Give $5	Accept	1119.2393
3	18	Rejected	Keep $5, Give $5	Accept	1169.3001
3	85	Accepted	Keep $5, Give $5	Accept	635.3185
3	57	Accepted	Keep $7, Give $3	Reject	985.7439
3	56	Accepted	Keep $5, Give $5	Accept	702.0662
3	37	Accepted	Keep $6, Give $4	Reject	601.9447
3	22	Accepted	Keep $8, Give $2	Reject	735.4401
3	63	Accepted	Keep $9, Give $1	Reject	668.6924
3	16	Accepted	Keep $9, Give $1	Reject	1019.1178
3	96	Rejected	Keep $9, Give $1	Reject	601.9447
4	34	Rejected	Keep $9, Give $1	Reject	685.3793
4	11	Rejected	Keep $6, Give $4	Reject	868.9355
4	86	Accepted	Keep $7, Give $3	Reject	468.4493
4	52	Accepted	Keep $7, Give $3	Reject	768.8139
4	39	Accepted	Keep $8, Give $2	Reject	702.0662
4	94	Accepted	Keep $6, Give $4	Accept	835.5616
4	0	Rejected	Keep $7, Give $3	Reject	568.5708
4	55	Rejected	Keep $7, Give $3	Reject	969.057
4	84	Rejected	Keep $6, Give $4	Reject	1286.1086
4	48	Accepted	Keep $5, Give $5	Accept	785.5008
4	60	Rejected	Keep $8, Give $2	Reject	702.0662
4	37	Rejected	Keep $6, Give $4	Reject	868.9355
4	66	Accepted	Keep $9, Give $1	Reject	752.127
4	69	Rejected	Keep $5, Give $5	Accept	702.0662
4	97	Rejected	Keep $9, Give $1	Reject	652.0055
4	9	Rejected	Keep $8, Give $2	Reject	451.7624
4	22	Accepted	Keep $6, Give $4	Reject	401.7016
4	99	Rejected	Keep $7, Give $3	Reject	518.5101
4	60	Accepted	Keep $6, Give $4	Reject	868.9355
4	49	Rejected	Keep $9, Give $1	Reject	668.6924
4	17	Accepted	Keep $7, Give $3	Reject	501.8231
4	14	Accepted	Keep $8, Give $2	Reject	652.0055
4	2	Rejected	Keep $5, Give $5	Accept	451.7624
4	75	Accepted	Keep $9, Give $1	Reject	518.5101
4	64	Rejected	Keep $5, Give $5	Accept	735.4401
4	74	Accepted	Keep $5, Give $5	Accept	535.197
4	15	Accepted	Keep $5, Give $5	Accept	418.3885
4	83	Rejected	Keep $8, Give $2	Reject	435.0754
4	79	Accepted	Keep $8, Give $2	Reject	401.7016
4	14	Accepted	Keep $9, Give $1	Reject	418.3885
2	30	Rejected	Keep $9, Give $1	Reject	385.0147
2	10	Rejected	Keep $9, Give $1	Reject	451.7624
2	25	Rejected	Keep $7, Give $3	Reject	585.2578
2	77	Accepted	Keep $8, Give $2	Reject	652.0055
2	8	Rejected	Keep $8, Give $2	Reject	935.6832
2	48	Rejected	Keep $6, Give $4	Reject	485.1362
2	70	Accepted	Keep $5, Give $5	Accept	652.0055
2	14	Accepted	Keep $8, Give $2	Reject	935.6832
2	12	Accepted	Keep $7, Give $3	Reject	385.0147
2	44	Accepted	Keep $7, Give $3	Reject	835.5616
2	79	Rejected	Keep $8, Give $2	Reject	618.6316
2	80	Rejected	Keep $9, Give $1	Reject	635.3185
2	67	Rejected	Keep $5, Give $5	Accept	885.6224
2	82	Accepted	Keep $6, Give $4	Reject	518.5101
2	77	Accepted	Keep $9, Give $1	Reject	435.0754
2	38	Accepted	Keep $8, Give $2	Reject	618.6316
2	65	Rejected	Keep $8, Give $2	Reject	284.8931
2	57	Rejected	Keep $7, Give $3	Reject	468.4493
2	81	Accepted	Keep $7, Give $3	Reject	418.3885
2	10	Rejected	Keep $6, Give $4	Reject	468.4493
