Subject, $9/$1, $8/$2, $7/$3, $6/$4, $5/$5
6, 0.5833333333333334, 0.4722222222222222, 0.5, 0.5428571428571428, 0.5
7, 0.5833333333333334, 0.4722222222222222, 0.5, 0.5428571428571428, 0.5
9, 0.40540540540540543, 0.5, 0.4857142857142857, 0.5142857142857142, 0.5
10, 0.5, 0.5, 0.5, 0.4857142857142857, 0.5
11, 0.5, 0.5, 0.5, 0.5, 0.5882352941176471
12, 0.5, 0.5454545454545454, 0.5, 0.5, 0.4411764705882353
13, 0.43333333333333335, 0.5625, 0.5588235294117647, 0.5714285714285714, 0.5
14, 0.5588235294117647, 0.5555555555555556, 0.5, 0.42424242424242425, 0.42424242424242425
19, 0.5, 0.4857142857142857, 0.4722222222222222, 0.5142857142857142, 0.5
20, 0.5, 0.4722222222222222, 0.5277777777777778, 0.5, 0.5
21, 0.4411764705882353, 0.5294117647058824, 0.6176470588235294, 0.5714285714285714, 0.5142857142857142
23, 0.4722222222222222, 0.4444444444444444, 0.5277777777777778, 0.5833333333333334, 0.4166666666666667
