StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	1	3	0	1432.6398
1	2	1	1	2598.974
1	3	2	1	2265.7356
1	2	3	0	2432.3548
1	3	1	1	1316.0064
1	3	4	0	2032.4688
1	2	4	0	2099.1165
1	1	2	0	1749.2162
1	1	1	1	966.1061
1	3	3	0	1832.5258
1	2	5	0	1415.9779
1	2	3	0	1699.2305
1	3	5	0	782.8251
1	2	4	0	1299.3445
1	3	4	0	1349.3302
1	2	5	0	1199.373
1	2	2	1	1332.6683
1	1	1	1	982.7681
1	2	2	1	2182.426
1	3	3	0	1216.0349
1	3	1	1	782.8251
1	2	1	1	932.7823
1	3	2	1	1066.0776
1	1	5	0	782.8251
1	1	3	0	1182.7111
1	3	5	0	1415.9779
1	1	4	0	1999.145
1	2	3	0	1949.1592
1	3	3	0	1349.3302
1	1	1	1	816.1489
1	3	4	0	1549.2732
1	1	5	0	1332.6683
1	1	4	0	1082.7396
1	3	1	1	1166.0491
1	2	2	1	2149.1022
1	1	2	1	1949.1592
1	2	5	0	766.1631
1	3	5	0	632.8678
1	2	4	0	1449.3017
1	1	4	0	1266.0206
1	1	5	0	1216.0349
1	2	1	1	2249.0737
1	1	2	1	1949.1592
2	2	1	1	1782.54
2	1	4	0	2515.6644
2	1	2	1	2798.917
2	2	5	0	1565.9351
2	1	1	1	849.4727
2	2	5	0	766.1631
2	3	3	0	2565.6501
2	3	3	0	1066.0776
2	1	1	1	1199.373
2	3	5	0	1082.7396
2	3	1	1	1216.0349
2	3	1	1	1116.0634
2	2	5	0	982.7681
2	2	2	1	2382.369
2	1	5	0	732.8393
2	2	1	1	816.1489
2	3	3	0	2232.4118
2	3	1	1	749.5012
2	1	5	0	816.1489
2	2	4	0	1316.0064
2	1	2	1	1899.1735
2	3	2	1	1132.7253
2	1	3	0	2149.1022
2	2	2	1	1699.2305
2	3	2	1	1282.6826
2	1	1	1	1465.9636
2	3	5	0	966.1061
2	1	5	0	982.7681
2	2	3	0	1149.3872
2	1	3	0	1365.9921
2	1	2	1	1682.5685
2	2	1	1	982.7681
2	3	5	0	1232.6968
2	2	2	1	1582.5971
2	2	3	0	1749.2162
2	1	4	0	1149.3872
2	3	4	0	1016.0919
2	1	4	0	1316.0064
2	1	3	0	1882.5115
2	2	4	0	999.43
2	2	4	0	1299.3445
2	2	3	0	932.7823
2	3	4	0	799.487
2	3	2	1	1449.3017
2	3	4	0	1216.0349
3	1	2	1	1582.5971
3	2	2	1	1299.3445
3	2	3	0	1899.1735
3	1	3	0	1865.8496
3	3	5	0	2582.312
3	1	5	0	1515.9494
3	2	5	0	2515.6644
3	2	5	0	1465.9636
3	1	4	0	1316.0064
3	2	3	0	1399.316
3	1	3	0	1732.5543
3	1	5	0	2215.7499
3	3	2	1	2798.917
3	3	4	0	1132.7253
3	3	5	0	982.7681
3	3	3	0	1715.8924
3	1	1	1	1116.0634
3	2	4	0	932.7823
3	3	4	0	1732.5543
3	2	1	1	1515.9494
3	2	1	1	2532.3263
3	2	2	1	1949.1592
3	1	2	1	649.5297
3	2	4	0	1765.8781
3	3	3	0	1316.0064
3	3	1	1	1166.0491
3	3	2	1	1832.5258
3	2	5	0	2215.7499
3	1	1	1	1665.9066
3	3	4	0	1632.5828
3	2	3	0	1482.6256
3	3	3	0	1499.2875
3	1	2	1	1032.7538
3	1	5	0	2199.088
3	2	4	0	966.1061
3	1	4	0	782.8251
3	1	1	1	982.7681
3	1	3	0	1082.7396
3	3	1	1	1665.9066
