StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	1	5	0	2086.8523
2	3	3	1	1586.2817
2	2	3	0	1653.0245
2	2	5	0	2153.5951
2	1	4	0	1803.1956
2	3	1	1	1970.0525
2	1	2	1	2437.2518
2	3	3	0	1936.6812
2	3	5	0	2136.9094
2	3	2	1	2520.6802
2	1	3	0	1386.0534
2	1	1	1	1119.0824
2	2	1	1	1853.2527
2	3	3	0	1636.3388
2	3	1	1	1402.7391
2	2	2	0	2353.8234
2	2	1	1	1302.625
2	2	3	0	2270.3949
2	1	4	0	1302.625
2	3	2	1	885.4828
2	1	4	0	885.4828
2	3	5	0	1135.7681
2	3	4	0	1419.4248
2	3	2	1	2020.1096
2	1	3	0	2921.1368
2	1	5	0	1085.711
2	1	2	1	2420.5661
2	2	5	0	1069.0254
2	3	5	0	1569.596
2	2	3	0	1819.8813
2	2	4	0	1853.2527
2	1	3	1	1269.2536
2	2	4	1	2503.9946
2	3	4	0	802.0543
2	2	2	1	902.1685
2	1	1	1	1970.0525
2	2	4	0	1970.0525
2	1	1	1	1369.3677
2	2	2	1	1402.7391
2	2	5	0	2287.0806
2	3	1	1	2303.7663
2	1	5	0	1352.6821
2	2	1	1	1419.4248
2	1	2	1	1302.625
2	3	4	0	1753.1386
3	1	5	0	785.3687
3	3	3	0	1085.711
3	3	4	0	1569.596
3	3	1	1	802.0543
3	1	2	1	1285.9393
3	2	1	1	2070.1667
3	2	2	1	1319.3107
3	2	3	1	2353.8234
3	2	3	1	1936.6812
3	3	4	0	835.4257
3	2	2	0	1953.3668
3	3	2	0	2136.9094
3	1	4	0	1069.0254
3	1	1	1	751.9973
3	1	2	1	1169.1395
3	2	2	1	1602.9674
3	3	2	0	1035.654
3	2	5	0	1402.7391
3	3	5	0	1869.9384
3	2	5	0	1669.7101
3	1	5	0	902.1685
3	1	1	1	1586.2817
3	2	1	1	1252.5679
3	3	2	0	1736.4529
3	2	3	0	2186.9665
3	3	1	1	952.2255
3	1	4	0	1202.5109
3	3	4	0	1219.1966
3	1	5	0	1018.9683
3	2	4	0	1402.7391
3	2	4	1	2136.9094
3	1	3	1	1202.5109
3	2	5	0	718.6259
3	3	1	0	1970.0525
3	2	1	1	1419.4248
3	3	5	0	1586.2817
3	1	4	0	1102.3967
3	3	3	0	1619.6531
3	3	5	0	1252.5679
3	1	3	1	1285.9393
3	1	1	1	751.9973
3	3	3	0	1319.3107
3	2	4	0	2070.1667
3	1	3	1	1269.2536
1	2	1	1	952.2255
1	1	3	1	1202.5109
1	3	5	0	1285.9393
1	3	2	0	1953.3668
1	1	4	0	1185.8252
1	2	3	1	1069.0254
1	2	5	0	1519.5389
1	1	5	0	1519.5389
1	2	4	0	2086.8523
1	2	4	0	1452.7962
1	2	5	0	952.2255
1	3	3	0	1169.1395
1	2	3	1	1052.3397
1	3	1	0	1552.9103
1	2	1	1	1285.9393
1	2	5	0	1402.7391
1	3	4	0	1486.1676
1	2	2	1	1436.1105
1	2	1	1	1419.4248
1	3	2	0	1719.7672
1	3	3	0	1402.7391
1	1	2	0	2470.6232
1	1	3	1	2570.7373
1	2	2	0	1970.0525
1	3	3	0	2186.9665
1	1	3	0	2287.0806
1	1	5	0	1386.0534
1	2	2	1	1953.3668
1	1	2	0	2020.1096
1	1	4	0	768.683
1	3	5	0	1102.3967
1	3	2	1	1002.2826
1	1	4	0	1519.5389
1	1	5	0	1552.9103
1	1	1	1	1119.0824
1	3	4	0	1285.9393
1	3	5	0	1369.3677
1	2	4	0	1335.9964
1	3	4	0	1018.9683
1	1	1	1	1102.3967
1	1	2	1	1235.8822
1	1	1	0	2604.1087
1	3	1	1	1686.3958
1	3	1	1	2270.3949
1	2	3	0	1369.3677
