StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	1	1	1	1118.8738
1	1	5	0	651.7205
1	2	4	0	1736.1834
1	1	4	0	785.1929
1	3	4	0	968.7174
1	2	2	1	1018.7695
1	2	4	0	1102.1897
1	3	5	0	1185.6099
1	3	3	0	835.245
1	2	2	1	635.0364
1	1	5	0	851.929
1	1	5	0	1085.5057
1	2	3	0	985.4014
1	3	2	1	1002.0854
1	3	1	1	868.6131
1	1	2	1	885.2971
1	2	3	0	635.0364
1	3	2	1	851.929
1	3	5	0	835.245
1	3	4	0	701.7726
1	2	4	0	1552.6589
1	2	1	1	685.0886
1	1	3	0	918.6652
1	1	3	0	384.7758
1	1	1	1	885.2971
1	2	5	0	1085.5057
1	3	1	1	1185.6099
1	3	3	0	1168.9259
1	3	3	0	1752.8675
1	2	1	1	868.6131
1	2	3	0	901.9812
1	3	2	1	1218.978
1	2	2	1	1152.2419
1	2	5	0	901.9812
1	1	3	0	1185.6099
1	1	2	1	1335.7664
1	2	1	1	835.245
1	1	2	1	751.8248
1	3	5	0	1152.2419
1	3	1	1	1469.2387
1	2	5	0	851.929
1	1	1	1	1502.6068
1	1	4	0	1752.8675
1	3	4	0	751.8248
3	1	3	0	985.4014
3	1	2	0	1218.978
3	1	4	0	1202.294
3	3	3	0	1352.4504
3	3	5	0	1519.2909
3	1	1	1	918.6652
3	3	2	1	701.7726
3	3	1	1	768.5088
3	2	4	0	735.1407
3	2	4	0	584.9843
3	1	3	0	1903.0239
3	2	5	0	451.5119
3	2	2	1	651.7205
3	3	2	1	2520.3336
3	3	5	0	868.6131
3	2	2	1	1302.3983
3	3	5	0	518.2481
3	1	5	0	818.5609
3	3	4	0	851.929
3	2	1	1	751.8248
3	2	4	0	935.3493
3	2	3	0	1068.8216
3	3	4	0	851.929
3	2	3	0	785.1929
3	2	5	0	1018.7695
3	3	2	1	1135.5578
3	2	1	1	835.245
3	2	2	1	1836.2877
3	3	4	0	1786.2356
3	1	5	0	1218.978
3	1	1	1	1035.4535
3	1	2	1	968.7174
3	1	2	1	1535.9749
3	1	1	1	1602.7111
3	2	5	0	1352.4504
3	1	3	0	1135.5578
3	1	4	0	2069.8644
3	3	3	0	2019.8122
3	2	3	0	835.245
3	1	5	0	801.8769
3	3	1	1	851.929
3	3	1	1	935.3493
3	3	3	0	2486.9655
2	1	4	0	835.245
2	3	2	1	1235.6621
2	2	3	0	2236.7048
2	3	4	0	718.4567
2	1	4	0	1419.1866
2	2	3	1	1185.6099
2	2	4	0	1769.5515
2	3	2	1	2403.5453
2	2	2	1	2353.4931
2	3	4	0	735.1407
2	2	1	1	1469.2387
2	1	5	0	868.6131
2	1	3	0	918.6652
2	1	3	0	851.929
2	1	4	0	718.4567
2	1	1	1	2153.2846
2	3	1	1	668.4045
2	3	5	0	651.7205
2	2	5	0	768.5088
2	1	1	1	1502.6068
2	2	1	1	1652.7632
2	1	1	1	751.8248
2	2	2	1	1719.4994
2	2	5	0	668.4045
2	3	5	0	584.9843
2	2	4	0	601.6684
2	3	3	0	1402.5025
2	1	3	0	651.7205
2	1	2	1	685.0886
2	2	4	0	668.4045
2	3	2	1	2203.3367
2	1	2	1	818.5609
2	3	4	0	835.245
2	3	3	0	1302.3983
2	3	1	1	651.7205
2	3	3	0	835.245
2	2	2	1	2286.7569
2	2	1	1	2136.6005
2	3	1	1	668.4045
2	1	5	1	1569.343
2	3	5	0	401.4598
2	1	5	0	885.2971
2	2	5	0	635.0364
2	2	3	1	801.8769
2	1	2	1	818.5609
