TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	Low	1	351.5358
2	1	7	Low	1	268.1076
3	1	7	Low	0	368.2214
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	High	1	318.2792
2	1	7	Low	1	251.5309
3	1	7	n/a	0	NaN
3	1	7	n/a	0	NaN
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	High	1	515.3635
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	High	1	1481.4674
2	1	7	High	1	848.6099
3	1	7	High	1	931.8807
4	1	7	High	0	1048.4597
5	1	7	Low	0	548.8354
6	1	7	High	1	698.7226
7	1	7	Low	0	1131.7304
8	1	7	Low	0	315.6773
9	1	7	High	0	249.0608
10	1	7	High	1	182.4442
11	1	7	High	0	315.6773
12	1	7	n/a	0	NaN
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
1	1	7	n/a	0	NaN
2	1	7	n/a	0	NaN
2	1	7	n/a	0	NaN
3	1	7	High	1	498.8016
4	1	7	High	1	765.2552
5	1	7	High	1	715.2951
6	1	7	Low	0	965.0954
7	1	7	High	0	731.9485
8	1	7	High	1	648.6817
9	1	7	High	1	748.6018
10	1	7	Low	1	698.6418
11	1	7	Low	1	1048.3621
