Subject, Baseline Person, Baseline PC, Punishment Person, Punishment PC
6, 23.0, 23.79310344827586, 82.41379310344827, 86.33333333333333
8, 10.0, 6.666666666666667, 46.0, 41.0
9, 32.96296296296296, 37.03703703703704, 54.666666666666664, 53.92857142857143
10, 24.0, 8.275862068965518, 49.333333333333336, 43.333333333333336
11,60.38461538461539, 59.310344827586206, 57.241379310344826, 56.15384615384615
12, 40.4, 2.7586206896551726, 52.0, 58.62068965517241
13, 30.76923076923077, 15.76923076923077, 71.03448275862068, 72.06896551724138
15, 15.862068965517242, 3.6666666666666665, 66.20689655172414, 53.57142857142857
16, 20.0, 16.428571428571427, 78.5, 76.66666666666667
19, 60.0, 63.333333333333336, 84.66666666666667, 87.0
20, 48.62068965517241, 48.57142857142857, 57.333333333333336, 59.666666666666664
21, 6.428571428571429, 6.666666666666667, 35.714285714285715, 32.592592592592595
23, 9.666666666666666, 9.310344827586206, 51.0, 40.0
