tACS Sync Transfer Diff	tACS rTPJ Transfer Diff	tACS rDLPFC Transfer Diff	Sham Transfer Diff
58.55555556	56.76767677	62	68
32	37.37373737	42	37.77777778
17.77777778	8.888888889	26.88888889	32.11111111
27.67676768	30.22222222	35.25252525	35.25252525
-6.777777778	9	-7.777777778	2.626262626
30	61	30	31.81818182
44.11111111	38	57.27272727	57.77777778
46.66666667	58.33333333	44.55555556	50
62	61.66666667	62.5	70
0	-3	48	17
9	12.33333333	10.5	9
33.75	31	11.25	34
34	31	47	32
