tRNS_rTPJ, tRNS_rDLPFC, Sham
42.10526315789474, 63.5, 51.0
22.0, 38.94736842105263, 23.0
41.111111111111114, 41.578947368421055, 45.78947368421053
30.0, 33.0, 29.5
59.285714285714285, 60.5, 63.0
34.73684210526316, 37.5, 32.5
42.5, 48.888888888888886, 46.666666666666664
35.0, 32.0, 36.0
50.0, 55.0, 66.0
74.0, 54.5, 80.5
51.5, 55.0, 54.5
20.526315789473685, 12.777777777777779, 27.0
