Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
3	2	2	40.0	1706.8870000000002	0.0	0.0
3	2	2	60.0	1857.1068	0.0	0.0
3	1	2	30.0	755.4949		
3	1	1	40.0	1306.3009		
3	1	2	60.0	621.9662		
3	1	1	40.0	1673.5048		
3	2	2	40.0	1456.5207	0.0	0.0
3	1	1	20.0	1272.9187		
3	1	2				
3	2	1	30.0	2307.7662	7.0	35.0
3	2	1	60.0	889.0236	0.0	0.0
3	1	2	20.0	1623.4315		
3	2	1	60.0	1807.0335	0.0	0.0
3	1	2	30.0	288.1445		
3	1	1	20.0	304.8355		
3	2	1	60.0	571.893	0.0	0.0
3	2	1	50.0	388.291	0.0	0.0
3	2	2	60.0	404.9821	0.0	0.0
3	1	1	40.0	4.3959		
5	2	2	30.0	605.2751	8.0	40.0
5	1	1	40.0	621.9662		
5	2	1	50.0	805.5682	0.0	0.0
5	1	2	40.0	1489.9028		
5	1	1	30.0	137.9247		
5	2	1	60.0	4.3959	0.0	0.0
5	2	1	30.0	1473.2117	7.0	35.0
5	1	2	40.0	488.4375		
5	1	2	10.0	1573.3583		
5	1	1	40.0	1256.2276		
5	2	1	40.0	204.68900000000002	2.0	10.0
5	2	1	40.0	505.1286	2.0	10.0
5	1	2	50.0	872.3326		
5	2	2	60.0	1439.8296	0.0	0.0
5	1	1	30.0	772.186		
5	2	2	60.0	688.7306	0.0	0.0
5	2	2			2.0	10.0
5	2	2	50.0	1773.6513	0.0	0.0
5	1	2	40.0	655.3484		
5	2	2	50.0	1556.6672	0.0	0.0
1	1	1				
1	1	1	40.0	588.5840000000001		
1	1	2	60.0	588.5840000000001		
1	1	2	40.0	2307.7662		
1	2	1	60.0	738.8038	0.0	0.0
1	1	1	60.0	1222.8454		
1	2	1	70.0	221.3801	0.0	0.0
1	2	1	70.0	1690.1959	0.0	0.0
1	1	2	40.0	1106.0078		
1	1	1	60.0	621.9662		
1	1	1	40.0	371.5999		
1	2	1	60.0	1222.8454	0.0	0.0
1	2	2	40.0	238.0712	2.0	10.0
1	2	2	50.0	638.6573	0.0	0.0
1	2	2	60.0	421.6732	0.0	0.0
1	1	2	50.0	1022.5523		
1	1	1	50.0	421.6732		
1	2	1	60.0	1172.7721	0.0	0.0
1	1	2	60.0	87.8514		
1	2	2	60.0	1005.8613	0.0	0.0
6	2	2	60.0	705.4217	0.0	0.0
6	1	2	20.0	588.5840000000001		
6	2	2	60.0	1389.7563	0.0	0.0
6	1	1	10.0	2241.0018		
6	2	2	50.0	1072.6256	0.0	0.0
6	1	1	0.0	304.8355		
6	2	1	70.0	438.3642	0.0	0.0
6	1	1	30.0	1573.3583		
6	2	1	60.0	488.4375	0.0	0.0
6	2	1	50.0	905.7147	0.0	0.0
6	1	2	30.0	621.9662		
6	1	1	50.0	1272.9187		
6	2	1	60.0	1389.7563	0.0	0.0
6	2	1	60.0	555.2019	0.0	0.0
6	1	2	40.0	1740.2692		
6	2	2	70.0	1990.6355	0.0	0.0
6	1	1	40.0	2341.1483		
6	1	2				
6	2	2	70.0	1389.7563	0.0	0.0
6	1	2	40.0	1005.8613		
2	2	2			0.0	0.0
2	1	1	30.0	1673.5048		
2	1	2	50.0	1322.9919		
2	2	1	50.0	1239.5365	0.0	0.0
2	1	2	60.0	2775.1166		
2	2	1	60.0	989.1702	0.0	0.0
2	2	2	60.0	1322.9919	0.0	0.0
2	2	2	60.0	555.2019	0.0	0.0
2	2	2	70.0	471.7464	0.0	0.0
2	2	1	70.0	989.1702	0.0	0.0
2	1	1	20.0	755.4949		
2	1	1	30.0	1656.8137		
2	2	2	50.0	1473.2117	0.0	0.0
2	1	2	10.0	2140.8553		
2	1	2	50.0	1840.4157		
2	1	2	20.0	404.9821		
2	2	2	50.0	1640.1226	0.0	0.0
2	1	1	20.0	1940.5622		
2	2	1	60.0	2324.4573	0.0	0.0
2	1	1	30.0	855.6415		
4	2	1	50.0	1389.7563	0.0	0.0
4	1	2	30.0	438.3642		
4	1	2	30.0	404.9821		
4	2	1	50.0	1139.39	0.0	0.0
4	2	2	50.0	2324.4573	0.0	0.0
4	1	1	30.0	1506.5939		
4	1	2				
4	2	1	40.0	421.6732	0.0	0.0
4	1	2	20.0	288.1445		
4	1	1	30.0	955.788		
4	2	1	60.0	1089.3167	0.0	0.0
4	1	1				
4	2	1	50.0	571.893	0.0	0.0
4	1	2	30.0	354.9088		
4	2	2	60.0	254.7623	0.0	0.0
4	2	1	50.0	455.0553	0.0	0.0
4	2	2	50.0	2241.0018	0.0	0.0
4	2	2	50.0	1122.6989	0.0	0.0
4	2	2	40.0	672.0395	0.0	0.0
4	1	1	20.0	4.3959		
