StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
1	2.0	0	3	0.0	2631.7567
1	2.0	1	3	0.0	2448.5029
1	4.0	1	3	1.0	2032.017
1	4.0	1	2	1.0	1915.401
1	2.0	1	3	1.0	2081.9953
1	4.0	1	1		
1	1.0	0	1	0.0	2665.0755
1	1.0	0	2	1.0	1598.8717
1	2.0	1	4	0.0	1632.1906
1	1.0	1	1	0.0	2465.1623
1	3.0	0	4		
1	3.0	0	4	0.0	1948.7199
1	4.0	1	4	1.0	2281.9085
1	4.0	1	1	1.0	2898.3076
1	4.0	1	4	1.0	2165.2925
1	1.0	1	4	1.0	1582.2123
1	1.0	0	4	1.0	1582.2123
1	2.0	1	3	0.0	1215.7047
1	1.0	0	2	1.0	1682.1689
1	3.0	1	3	1.0	2098.6548
1	3.0	1	1	1.0	2481.8217
1	2.0	1	5	0.0	2248.5897
1	1.0	0	1		
1	1.0	0	4		
1	4.0	0	4	0.0	1348.9802
1	4.0	1	1	1.0	1115.7481
1	3.0	1	3	1.0	1815.4444
1	1.0	0	2	1.0	2081.9953
1	1.0	1	2	0.0	2498.4812
1	3.0	0	3		
1	1.0	1	5	0.0	1582.2123
1	2.0	1	2	0.0	1432.2774
1	1.0	0	5	1.0	1199.0453
1	3.0	1	4	1.0	2781.6916
1	1.0	1	1	0.0	1615.5312
1	2.0	0	2	1.0	2115.3142
1	3.0	0	4	0.0	1865.4227
1	1.0	0	3		
1	2.0	1	5	0.0	1632.1906
1	4.0	0	3	0.0	2015.3576
1	3.0	1	5	0.0	2231.9302
1	1.0	0	5	1.0	2048.6765
1	2.0	1	1	1.0	2914.967
1	2.0	0	5	1.0	1382.2991
1	3.0	0	5	0.0	2864.9887
1	2.0	0	4	1.0	1282.3425
1	2.0	1	5	0.0	1765.4661
1	4.0	0	5	0.0	1648.85
1	3.0	0	5	0.0	1782.1255
1	2.0	0	3	1.0	2248.5897
1	4.0	1	3	1.0	2265.2491
1	3.0	0	3		
1	2.0	1	3	0.0	1348.9802
1	3.0	1	2	1.0	2515.1406
1	4.0	1	2	1.0	882.5161
1	4.0	0	2	0.0	1332.3208
1	1.0	1	1	0.0	2065.3359
1	2.0	1	2	0.0	2648.4161
1	2.0	0	4	1.0	1115.7481
1	3.0	1	5	1.0	1465.5963
1	3.0	0	4	0.0	1215.7047
1	2.0	1	5	0.0	2531.8001
1	4.0	1	5	1.0	1715.4878
1	3.0	0	5	0.0	1365.6397
1	1.0	0	1	1.0	1482.2557
1	2.0	0	3	0.0	1482.2557
1	4.0	1	5	1.0	2798.3509999999997
1	2.0	1	3	0.0	1099.0887
1	4.0	1	2	1.0	2181.9519
1	3.0	0	2	0.0	2131.9736
1	2.0	1	4	1.0	2914.967
1	1.0	0	5	1.0	1482.2557
1	4.0	0	2	0.0	1199.0453
1	3.0	0	1		
1	2.0	1	1	0.0	965.8132
1	4.0	0	5	0.0	2315.2274
1	2.0	0	2	0.0	2781.6916
1	2.0	1	2	0.0	1882.0821
1	4.0	0	1	0.0	1065.7698
1	4.0	1	4	1.0	1115.7481
1	4.0	0	1	0.0	1365.6397
1	2.0	0	3	1.0	1498.9151
1	1.0	1	2	0.0	1032.451
1	3.0	0	2	0.0	1932.0604
1	3.0	0	1	1.0	2565.1189
1	2.0	0	1	1.0	2081.9953
1	3.0	0	1	0.0	1182.3859
1	1.0	1	4	0.0	1548.8934
1	3.0	0	3	0.0	2431.8434
1	3.0	1	4	1.0	1199.0453
2	1.0	1	4	0.0	1049.1104
2	4.0	1	1	1.0	1782.1255
2	4.0	0	3	0.0	849.1972
2	1.0	1	2	0.0	1615.5312
2	2.0	0	5	1.0	1632.1906
2	1.0	1	4	0.0	1315.6614
2	3.0	0	2		
2	3.0	1	5	1.0	1548.8934
2	2.0	0	4	1.0	1432.2774
2	2.0	0	1	1.0	1832.1038
2	1.0	1	1	0.0	1382.2991
2	4.0	1	4	1.0	2298.5679999999998
2	1.0	0	1	1.0	1882.0821
2	4.0	1	2	1.0	1199.0453
2	1.0	1	3	0.0	1682.1689
2	4.0	1	5	1.0	2881.6482
2	2.0	0	5	1.0	1315.6614
2	1.0	0	3	1.0	1648.85
2	1.0	0	4	1.0	1798.7849
2	2.0	1	1	0.0	2631.7567
2	4.0	0	5	0.0	2248.5897
2	3.0	1	5	1.0	1032.451
2	3.0	0	4	0.0	1882.0821
2	2.0	0	2	1.0	1782.1255
2	2.0	0	4		
2	1.0	0	1	1.0	1565.5529
2	2.0	1	2	0.0	1149.067
2	3.0	0	3	0.0	2465.1623
2	2.0	1	2	0.0	1032.451
2	2.0	1	1	1.0	1648.85
2	3.0	1	5	1.0	982.4727
2	2.0	0	2	1.0	1065.7698
2	3.0	0	3	0.0	1365.6397
2	2.0	0	3	1.0	1348.9802
2	3.0	0	2	1.0	1998.6982
2	1.0	0	1	1.0	1548.8934
2	4.0	0	1	0.0	1115.7481
2	3.0	1	4	1.0	1698.8283
2	4.0	0	2	0.0	2165.2925
2	4.0	0	1	0.0	2715.0538
2	4.0	0	5	0.0	1348.9802
2	3.0	0	2	0.0	982.4727
2	1.0	1	2	0.0	1149.067
2	4.0	1	1	1.0	999.1321
2	3.0	0	1	0.0	1415.618
2	2.0	1	5	0.0	1415.618
2	2.0	1	1	1.0	2115.3142
2	2.0	1	5	0.0	2098.6548
2	4.0	1	5		
2	1.0	1	1	0.0	2032.017
2	1.0	1	3		
2	3.0	0	4	0.0	1215.7047
2	2.0	1	5	0.0	1765.4661
2	3.0	1	1	1.0	1848.7632
2	2.0	1	3	0.0	2848.3293
2	3.0	1	2	1.0	1482.2557
2	1.0	0	2	1.0	2565.1189
2	4.0	1	4	1.0	2548.4595
2	4.0	1	4	1.0	865.8566
2	2.0	1	3	0.0	1565.5529
2	1.0	0	4	1.0	1132.4076
2	3.0	0	3	0.0	2281.9085
2	4.0	1	3	1.0	1032.451
2	3.0	1	3	1.0	2032.017
2	2.0	0	1		
2	2.0	0	5	1.0	2148.6331
2	4.0	0	4	0.0	1315.6614
2	4.0	1	2	0.0	2515.1406
2	3.0	1	4	1.0	949.1538
2	3.0	1	3	1.0	1698.8283
2	2.0	0	1	1.0	1149.067
2	2.0	1	3	0.0	1332.3208
2	3.0	1	4	1.0	1282.3425
2	1.0	0	3	0.0	2481.8217
2	1.0	0	3	1.0	1115.7481
2	1.0	0	5	0.0	2665.0755
2	3.0	1	2	1.0	882.5161
2	4.0	1	1	1.0	732.5812
