StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
1	21	0	2	1	1769.8518
1	58	1	4	1	1669.7366
1	43	0	1	1	968.9308
1	71	1	5	1	1119.1035
1	30	1	5	0	2303.7991
1	12	1	1	1	2320.4849
1	90	1	4	1	1269.2761
1	96	1	1	1	1035.6742
1	76	1	3	1	568.4703
1	44	0	4	1	618.5278
1	71	1	5	1	735.3288
1	16	0	2	1	985.6166
1	79	1	5	1	668.5854
1	52	1	4	1	768.7005
1	84	1	1	1	601.842
1	15	1	2	1	334.8683
1	66	0	2	1	501.7269
1	6	0	5	1	551.7844
1	26	1	4	1	518.4127
1	86	0	2	1	501.7269
1	21	1	1	1	852.1298
1	33	1	1	1	651.8995
1	68	0	5	1	451.6693
1	69	0	5	1	518.4127
1	94	0	1	1	651.8995
1	1	1	4	1	752.0147
1	9	0	4	1	468.3551
1	62	1	2	1	418.2976
1	34	1	4	1	585.1561
1	71	1	3	1	451.6693
1	2	0	3	1	468.3551
1	65	0	5	1	501.7269
1	53	1	1	1	401.6117
1	82	0	4	1	518.4127
1	65	1	5	1	351.5542
1	82	0	5	1	301.4966
1	43	0	1	1	418.2976
1	61	1	1	1	351.5542
1	29	1	4	1	485.041
1	22	1	5	1	535.0986
1	73	0	2	1	401.6117
1	66	1	3	1	384.9259
1	57	0	1	1	418.2976
1	66	1	3	1	434.9834
1	4	0	1	1	468.3551
1	45	0	2	1	384.9259
1	1	0	4	1	635.2137
1	96	1	2	1	418.2976
1	28	1	2	1	518.4127
1	27	1	2	1	334.8683
1	15	0	5	1	434.9834
1	64	1	2	1	501.7269
1	5	1	3	1	418.2976
1	98	0	3	1	418.2976
1	93	0	1	1	618.5278
1	17	0	5	1	651.8995
1	81	1	3	1	885.5015
1	26	0	3	1	1469.5064
1	96	0	3	1	668.5854
1	51	0	3	1	485.041
1	90	0	4	1	1202.5327
1	74	1	1	1	802.0722
1	64	0	5	1	701.9571
1	63	0	2	1	568.4703
1	73	1	4	1	618.5278
1	23	0	3	1	451.6693
1	59	0	5	1	685.2712
1	78	1	4	1	451.6693
1	9	1	5	1	985.6166
1	76	1	2	1	418.2976
1	65	1	3	1	501.7269
1	22	0	1	1	451.6693
1	63	1	5	1	568.4703
1	22	1	3	1	618.5278
1	52	0	3	1	368.24
1	49	1	5	1	434.9834
1	55	0	4	1	418.2976
1	19	0	4	1	418.2976
1	40	0	4	1	468.3551
1	33	0	2	1	418.2976
1	67	0	3	1	401.6117
1	71	0	2	1	485.041
1	5	0	1	1	485.041
1	28	1	3	1	535.0986
1	98	0	4	1	568.4703
1	61	1	2	1	668.5854
1	66	0	3	1	401.6117
1	98	0	1	1	651.8995
1	95	1	2	1	701.9571
2	63	1	1	1	351.5542
2	90	1	5	1	651.8995
2	80	0	4	1	1035.6742
2	37	0	5	1	718.643
2	31	0	4	1	668.5854
2	7	0	2	1	718.643
2	92	0	2	1	1436.1347
2	27	1	1	1	685.2712
2	86	1	2	1	1602.9932
2	22	1	3	1	501.7269
2	94	1	5	1	868.8156
2	82	1	4	1	735.3288
2	1	0	5	1	785.3864
2	47	0	2	1	735.3288
2	36	1	3	1	434.9834
2	59	1	4	1	434.9834
2	0	1	4	1	785.3864
2	45	1	1	1	401.6117
2	96	1	3	1	1586.3074
2	87	0	3	1	1002.3025
2	11	0	1	1	351.5542
2	14	1	3	1	434.9834
2	93	1	4	1	635.2137
2	22	0	3	1	451.6693
2	34	0	1	1	618.5278
2	12	0	4	1	501.7269
2	84	0	1	1	1469.5064
2	3	1	1	1	434.9834
2	62	0	1	1	468.3551
2	65	0	5	1	601.842
2	70	0	3	1	585.1561
2	72	0	4	1	685.2712
2	58	1	4	1	618.5278
2	54	1	2	1	434.9834
2	41	0	1	1	418.2976
2	74	1	2	1	651.8995
2	62	0	3	1	918.8732
2	3	0	1	1	752.0147
2	62	0	4	1	685.2712
2	56	1	5	1	501.7269
2	68	0	5	1	868.8156
2	71	0	1	1	384.9259
2	8	1	3	1	802.0722
2	71	0	5	1	468.3551
2	57	0	3	1	418.2976
2	47	0	4	1	568.4703
2	13	1	1	1	434.9834
2	78	1	4	1	618.5278
2	93	1	1	1	351.5542
2	55	1	5	1	1302.6478
2	42	1	5	1	1285.962
2	89	1	1	1	384.9259
2	12	0	3	1	351.5542
2	65	0	3	1	485.041
2	42	1	3	1	1152.4752
2	5	0	1	1	785.3864
2	46	1	1	1	1018.9883
2	41	1	4	1	752.0147
2	99	0	4	1	885.5015
2	1	1	2	1	985.6166
2	12	0	4	1	818.7581
2	59	1	2	1	418.2976
2	45	0	4	0	868.8156
2	78	0	3	1	585.1561
2	17	1	5	1	618.5278
2	89	1	2	1	384.9259
2	53	0	2	1	368.24
2	6	1	5	1	401.6117
2	53	1	1	1	635.2137
2	58	0	5	1	635.2137
2	99	1	1	1	902.1874
2	69	0	1	1	1018.9883
2	73	0	5	1	718.643
2	16	1	2	1	718.643
2	4	0	5	1	968.9308
2	23	0	5	1	918.8732
2	18	0	2	1	785.3864
2	93	1	3	1	635.2137
2	44	1	2	1	651.8995
2	58	1	3	1	518.4127
2	47	0	2	1	251.439
2	3	1	2	1	2470.6576
