StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
1	26	0	3	1	1065.9958
1	68	0	4	1	2482.2026
1	61	1	1	0	749.4319
1	13	0	4	1	766.0932
1	9	0	1	0	616.1419
1	76	1	5	1	799.4157
1	14	0	4	1	699.4482
1	6	0	2	0	749.4319
1	60	1	4	1	982.6895
1	84	1	4	1	666.1257
1	39	1	3	0	566.1581
1	3	1	2	0	1082.6571
1	48	0	5	1	682.7869
1	32	1	4	1	716.1094
1	77	1	4	1	716.1094
1	2	1	1	0	532.8356
1	57	1	1	0	566.1581
1	5	0	1	0	616.1419
1	77	0	2	0	616.1419
1	72	1	1	0	549.4969
1	20	1	5	1	782.7545
1	91	1	1	0	516.1743
1	63	1	2	0	516.1743
1	20	1	3	0	666.1257
1	66	0	3	0	482.8518
1	31	0	5	1	516.1743
1	3	0	3	0	516.1743
1	77	1	2	0	716.1094
1	38	0	1	0	549.4969
1	29	1	3	0	599.4806
1	42	1	5	1	632.8031
1	96	0	1	0	432.8681
1	79	0	3	0	499.5131
1	67	0	4	1	566.1581
1	73	0	2	0	566.1581
1	98	1	3	0	549.4969
1	64	1	5	1	566.1581
1	50	0	4	1	632.8031
1	37	1	4	1	532.8356
1	77	0	2	0	499.5131
1	86	1	4	1	632.8031
1	68	1	5	1	566.1581
1	81	0	5	1	516.1743
1	82	0	1	0	516.1743
1	58	1	1	0	549.4969
1	93	0	1	0	499.5131
1	42	1	5	1	599.4806
1	15	1	5	1	632.8031
1	8	1	1	0	449.5293
1	46	0	1	0	632.8031
1	87	0	3	0	882.722
1	19	0	3	0	599.4806
1	72	0	5	1	699.4482
1	55	1	2	0	582.8194
1	45	0	2	0	482.8518
1	57	0	5	1	732.7707
1	6	1	5	1	616.1419
1	69	1	3	0	882.722
1	75	1	1	0	582.8194
1	54	0	4	1	599.4806
1	13	1	1	0	532.8356
1	24	1	2	0	682.7869
1	65	1	2	0	599.4806
1	58	0	3	0	666.1257
1	59	0	4	1	632.8031
1	52	1	4	1	549.4969
1	5	0	5	1	682.7869
1	52	1	3	0	732.7707
1	67	1	2	0	682.7869
1	53	0	1	0	532.8356
1	75	1	2	0	616.1419
1	5	1	4	1	782.7545
1	15	0	2	0	582.8194
1	55	0	2	0	616.1419
1	35	1	3	0	532.8356
1	33	1	3	0	549.4969
1	60	0	5	1	582.8194
1	35	0	2	0	599.4806
1	22	0	5	1	599.4806
1	82	1	5	1	599.4806
1	0	1	2	0	516.1743
1	86	0	5	1	582.8194
1	15	1	4	1	616.1419
1	70	0	4	1	732.7707
1	99	0	3	0	682.7869
1	76	1	3	0	532.8356
1	65	0	3	0	349.5618
1	18	0	1	0	616.1419
1	25	0	4	1	566.1581
1	21	0	2	0	666.1257
2	56	0	4	1	666.1257
2	49	0	1	0	482.8518
2	85	0	3	0	632.8031
2	55	0	5	1	582.8194
2	24	1	3	0	582.8194
2	38	1	4	1	466.1906
2	30	1	5	1	566.1581
2	85	1	2	0	666.1257
2	3	0	5	1	632.8031
2	55	1	5	1	499.5131
2	91	1	3	0	532.8356
2	26	1	5	1	549.4969
2	21	1	1	0	832.7382
2	38	1	2	0	549.4969
2	56	0	4	1	499.5131
2	94	1	5	1	616.1419
2	80	0	4	1	532.8356
2	32	0	1	0	749.4319
2	61	0	1	0	449.5293
2	24	0	3	0	599.4806
2	74	1	3	0	482.8518
2	60	1	3	0	466.1906
2	67	0	3	0	482.8518
2	38	1	2	0	632.8031
2	55	1	1	0	532.8356
2	29	0	2	0	666.1257
2	98	0	4	1	582.8194
2	75	0	1	0	566.1581
2	20	1	4	1	532.8356
2	77	1	2	0	599.4806
2	46	1	4	1	582.8194
2	97	0	1	0	416.2068
2	59	1	2	0	599.4806
2	49	0	3	0	499.5131
2	68	1	1	0	499.5131
2	65	0	5	1	699.4482
2	29	0	2	0	699.4482
2	52	1	1	0	449.5293
2	0	1	2	0	532.8356
2	7	1	4	1	582.8194
2	17	1	4	1	532.8356
2	93	1	1	0	516.1743
2	63	1	5	1	666.1257
2	54	0	3	0	932.7058
2	41	0	3	0	466.1906
2	89	1	4	1	649.4644
2	69	1	1	0	516.1743
2	7	1	1	0	499.5131
2	5	0	4	1	566.1581
2	34	1	5	1	616.1419
2	15	0	1	0	499.5131
2	9	0	1	0	599.4806
2	1	1	1	0	466.1906
2	42	1	3	0	682.7869
2	51	1	3	0	582.8194
2	96	1	5	1	682.7869
2	26	1	2	0	616.1419
2	23	0	4	1	649.4644
2	75	0	1	0	516.1743
2	83	0	2	0	466.1906
2	6	0	2	0	482.8518
2	82	0	3	0	599.4806
2	56	0	4	1	599.4806
2	62	0	1	0	532.8356
2	36	1	4	1	666.1257
2	33	0	5	1	749.4319
2	14	1	5	1	699.4482
2	78	1	3	0	1099.3183
2	15	1	2	0	516.1743
2	10	1	3	0	599.4806
2	50	1	1	0	516.1743
2	98	1	4	1	632.8031
2	29	0	3	0	466.1906
2	15	0	3	0	499.5131
2	69	1	5	1	632.8031
2	92	1	4	1	666.1257
2	77	0	5	1	516.1743
2	71	0	2	0	532.8356
2	71	0	4	1	599.4806
2	53	0	2	0	499.5131
2	44	0	2	0	566.1581
2	85	0	5	1	632.8031
2	96	1	2	0	466.1906
2	28	0	5	1	649.4644
2	72	0	5	1	632.8031
2	8	1	3	0	549.4969
2	64	0	5	1	632.8031
2	74	0	2	0	549.4969
