StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
1	2.0	0	2	0	2003.5041
1	1.0	0	3	1	1636.4092
1	1.0	0	5	1	1920.0735
1	1.0	0	2	0	2036.8764
1	2.0	1	4	1	2904.5554
1	2.0	1	5	1	2637.5772
1	2.0	1	5	1	1436.1756
1	3.0	1	5	1	101.2849
1	3.0	0	5	1	1603.0369
1	3.0	1	1	0	1536.2924
1	2.0	1	1	0	2420.6575
1	1.0	1	3	1	2654.2634
1	3.0	0	4	1	1603.0369
1	3.0	0	4	1	2036.8764
1	3.0	1	1	1	1669.7815
1	1.0	0	1	0	2103.621
1	3.0	1	3	1	1970.1319
1	3.0	1	5	1	1920.0735
1	2.0	1	1	0	1753.2121
1	3.0	0	1	0	2454.0298
1	2.0	1	2	1	2670.9495
1	1.0	0	4	1	1970.1319
1	1.0	1	5	1	2387.2852
1	2.0	0	2	0	2821.1247
1	3.0	0	4	1	1736.526
1	3.0	1	3	0	2403.9714
1	2.0	0	5	1	2353.913
1	2.0	0	4	1	1636.4092
1	2.0	0	1	0	1502.9201
1	1.0	1	1	1	2704.3218
1	3.0	1	2	0	2187.0516
1	3.0	1	5	1	151.3433
1	2.0	1	4	1	2070.2487
1	2.0	0	3	1	2253.7962
1	1.0	1	5	1	1870.0151
1	2.0	1	4	0	2604.205
1	1.0	0	5	1	1286.0004
1	2.0	0	1	0	1703.1537
1	2.0	1	3	1	2320.5407
1	2.0	1	2	0	2003.5041
1	2.0	0	2	0	1970.1319
1	3.0	0	3	1	2721.0079
1	1.0	1	3	1	2520.7743
1	3.0	1	3	1	2670.9495
1	2.0	1	5	1	2320.5407
1	1.0	1	3	0	2086.9348
1	1.0	1	4	0	2337.2268
1	1.0	1	1	0	1469.5479
1	3.0	1	4	1	1319.3726
1	2.0	0	4	1	2337.2268
1	1.0	0	2	0	2487.402
1	3.0	0	2	1	2587.5188
1	2.0	0	5	1	852.1609
1	1.0	1	4	1	1452.8617
1	2.0	1	3	0	2170.3655
1	1.0	0	4	1	2203.7378
1	2.0	1	3	1	2487.402
1	2.0	0	3	0	2303.8546
1	3.0	1	1	0	2337.2268
1	1.0	0	4	1	2403.9714
1	3.0	0	2	0	2220.4239
1	1.0	1	4	1	1636.4092
1	1.0	0	5	1	2554.1466
1	2.0	0	3	1	1753.2121
1	2.0	1	1	0	1369.431
1	1.0	1	1	0	1819.9567
1	1.0	1	5	1	785.4164
1	1.0	1	2	1	2020.1903
1	2.0	0	5	1	2187.0516
1	1.0	0	2	1	2220.4239
1	1.0	1	2	0	2287.1684
1	1.0	0	1	0	2270.4823
1	3.0	0	5	1	1135.8252
1	3.0	0	2	1	2103.621
