StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
2	3.0	1	5	1	1949.5137
2	1.0	1	1	0	1916.1858
2	3.0	0	1	0	1049.662
2	2.0	0	5	1	916.3507
2	3.0	1	3	1	1449.5961
2	1.0	0	5	1	2149.4807
2	1.0	1	4	1	1849.5301
2	1.0	0	5	1	1499.5878
2	3.0	0	4	1	1266.293
2	1.0	0	3	1	816.3672
2	1.0	1	5	1	899.6868
2	3.0	1	2	0	1432.9322
2	2.0	0	3	1	2499.423
2	2.0	1	4	1	1799.5384
2	2.0	0	2	0	949.6785
2	1.0	1	3	1	1849.5301
2	2.0	1	1	0	683.0558
2	3.0	0	3	1	1516.2518
2	3.0	1	3	1	1132.9816
2	3.0	1	1	0	1082.9899
2	3.0	1	1	0	816.3672
2	1.0	0	1	0	1132.9816
2	3.0	0	5	1	816.3672
2	3.0	0	3	1	1049.662
2	2.0	1	5	1	966.3424
2	3.0	0	5	1	949.6785
2	2.0	1	2	0	899.6868
2	1.0	0	4	1	716.3837
2	2.0	1	5	1	766.3754
2	2.0	0	4	1	849.695
2	3.0	0	4	1	649.7280000000002
2	2.0	1	3	1	1466.26
2	2.0	0	4	1	1266.293
2	2.0	1	1	0	866.3589
2	3.0	1	4	1	1282.9569
2	3.0	0	5	1	899.6868
2	1.0	1	4	1	783.0393
2	2.0	1	5	1	733.0476
2	1.0	0	2	1	866.3589
2	2.0	0	1	0	933.0146
2	2.0	0	1	0	1082.9899
2	3.0	1	1	0	1932.8497
2	2.0	0	5	1	833.0311
2	1.0	1	3	1	666.3919
2	2.0	0	1	0	816.3672
2	1.0	0	2	0	866.3589
2	1.0	0	4	1	616.4001
2	1.0	1	2	0	1332.9487
2	3.0	1	4	1	1299.6208
2	1.0	1	5	1	1199.6373
2	2.0	1	4	1	1082.9899
2	1.0	0	4	1	983.0064
2	3.0	1	2	0	816.3672
2	2.0	0	2	0	633.0641
2	2.0	0	4	1	783.0393
2	1.0	1	2	0	749.7115
2	3.0	1	5	1	666.3919
2	1.0	0	3	0	733.0476
2	3.0	1	2	0	799.7032
2	1.0	1	1	0	916.3507
2	2.0	0	5	1	683.0558
2	1.0	1	2	0	1682.8909
2	3.0	0	4	1	966.3424
2	2.0	1	3	1	1616.2353
2	2.0	1	4	1	649.7280000000002
2	2.0	0	2	0	999.6703
2	1.0	0	2	0	1649.5631
2	1.0	1	1	0	783.0393
2	2.0	0	3	1	1416.2682
2	3.0	0	1	0	633.0641
2	2.0	1	2	0	1832.8662
2	3.0	0	2	0	916.3507
2	3.0	0	2	0	1049.662
2	1.0	1	3	1	733.0476
2	3.0	0	3	1	1082.9899
2	2.0	1	3	1	516.4166
2	3.0	0	2	0	2232.8003
2	2.0	1	1	0	733.0476
2	1.0	0	5	1	1699.5549
2	3.0	0	1	0	983.0064
2	1.0	0	1	0	649.7280000000002
2	3.0	1	5	1	599.7362
2	3.0	1	3	1	1716.2188
2	1.0	1	4	1	683.0558
2	1.0	1	5	1	683.0558
2	3.0	1	4	1	749.7115
2	1.0	0	1	0	933.0146
2	1.0	0	3	1	1349.6126
2	2.0	0	3	1	849.695
2	2.0	1	2	0	833.0311
1	2.0	0	3	1	2666.0622
1	1.0	1	5	1	883.0228
1	3.0	0	3	1	1482.9239
1	1.0	0	1	0	966.3424
1	3.0	1	5	1	1449.5961
1	1.0	1	2	0	2099.4889
1	2.0	1	5	1	1632.8992
1	3.0	1	2	0	1116.3177
1	1.0	0	5	1	666.3919
1	1.0	0	1	0	866.3589
1	1.0	0	4	1	1382.9404
1	2.0	1	3	1	949.6785
1	1.0	0	3	1	633.0641
1	3.0	1	4	1	1916.1858
1	2.0	0	5	1	833.0311
1	2.0	1	2	0	1232.9651
1	1.0	0	4	1	999.6703
1	1.0	1	1	0	816.3672
1	3.0	0	3	1	1249.6291
1	1.0	1	2	0	1649.5631
1	2.0	1	5	1	816.3672
1	1.0	0	2	0	916.3507
1	1.0	1	5	1	666.3919
1	2.0	1	4	1	1099.6538
1	3.0	1	2	0	2232.8003
1	3.0	0	5	1	666.3919
1	2.0	1	1	0	1466.26
1	2.0	0	1	0	2616.0704
1	2.0	0	1	0	816.3672
1	3.0	0	1	0	533.0805
1	3.0	0	2	0	1049.662
1	1.0	1	1	0	1149.6455
1	2.0	1	5	1	783.0393
1	3.0	1	2	0	866.3589
1	1.0	0	1	0	1332.9487
1	2.0	1	4	1	1482.9239
1	3.0	1	3	1	1466.26
1	2.0	1	2	0	1182.9734
1	1.0	1	3	1	833.0311
1	3.0	0	3	1	1099.6538
1	3.0	1	1	0	866.3589
1	2.0	1	3	1	1382.9404
1	1.0	0	3	1	1266.293
1	3.0	1	3	1	1299.6208
