Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
1	2	2	30.0	865.8523	8.0	40.0
1	1	2	0.0	915.8418		
1	2	1	40.0	432.6103	0.0	0.0
1	2	2	30.0	549.2524	7.0	35.0
1	1	2	0.0	832.5260000000001		
1	2	2	60.0	2048.9365	0.0	0.0
1	2	1	40.0	815.8629	0.0	0.0
1	2	1	40.0	299.305	2.0	10.0
1	2	1	10.0	515.9259999999999	13.0	65.0
1	1	1	0.0	1715.6733		
1	1	2	0.0	1599.0312		
1	2	2	60.0	1432.3997	0.0	0.0
1	1	2	0.0	1415.7365		
1	2	2	20.0	1032.4839	9.0	45.0
1	1	1	20.0	2732.1259		
1	1	2	20.0	1649.0207		
1	1	1	0.0	549.2524		
1	1	1	0.0	1865.6417		
1	2	1	20.0	2665.4733	10.0	50.0
1	1	1	0.0	2632.1469		
6	2	2	50.0	982.4944	0.0	0.0
6	1	2	50.0	1382.4102		
6	2	1	60.0	2198.9049	0.0	0.0
6	1	2	0.0	1532.3786		
6	1	1	0.0	382.6208		
6	2	2	30.0	365.9576	7.0	35.0
6	2	1	30.0	1649.0207	8.0	40.0
6	1	1	0.0	2048.9365		
6	2	1	40.0	2265.5575	2.0	10.0
6	1	1	0.0	982.4944		
6	1	2	0.0	332.6313		
6	2	1	30.0	1065.8102	7.0	35.0
6	1	2	0.0	649.2313		
6	2	1	60.0	1865.6417	0.0	0.0
6	1	1	0.0	399.284		
6	1	1	0.0	965.8313		
6	1	2	50.0	1748.9996		
6	2	2	50.0	399.284	0.0	0.0
6	2	2	60.0	1349.0839	0.0	0.0
6	2	2	30.0	1765.6628	7.0	35.0
2	2	2	30.0	1299.0944	7.0	35.0
2	2	1	20.0	2298.8838	9.0	45.0
2	1	2				
2	1	1	0.0	415.9471		
2	2	2	30.0	1599.0312	7.0	35.0
2	2	2	20.0	1832.3154	10.0	50.0
2	1	1	50.0	2082.2628		
2	1	1	0.0	1332.4207		
2	1	2	50.0	1782.326		
2	2	1	40.0	2615.4838	0.0	0.0
2	2	1	20.0	2248.8943	10.0	50.0
2	1	2				
2	1	1	50.0	16.0314		
2	2	2	20.0	1965.6207	9.0	45.0
2	2	1			0.0	0.0
2	1	1	0.0	465.9366		
2	1	2	0.0	1565.7049		
2	2	1	80.0	599.2418	0.0	0.0
2	2	2	10.0	949.1681	13.0	65.0
2	1	2	0.0	1315.7576		
4	1	1	10.0	2365.5364		
4	2	1	40.0	2365.5364	2.0	10.0
4	2	2	40.0	2965.4101	0.0	0.0
4	1	2	0.0	1449.0628		
4	2	2	20.0	865.8523	10.0	50.0
4	1	2				
4	1	1	50.0	882.5155		
4	2	1	20.0	1915.6312	9.0	45.0
4	1	1	0.0	699.2208		
4	1	2	10.0	1765.6628		
4	2	2	50.0	332.6313	0.0	0.0
4	2	1	50.0	1549.0418	0.0	0.0
4	1	2	0.0	882.5155		
4	1	1	0.0	465.9366		
4	2	1	30.0	1349.0839	8.0	40.0
4	2	1	40.0	2132.2522	0.0	0.0
4	1	1	0.0	632.5681		
4	2	2	20.0	1165.7892	9.0	45.0
4	1	2	0.0	2132.2522		
4	2	2	10.0	1699.0102	13.0	65.0
3	1	1	0.0	482.5997		
3	2	2	70.0	315.9682	0.0	0.0
3	2	1	40.0	2398.8627	2.0	10.0
3	2	1	40.0	382.6208	2.0	10.0
3	2	1	40.0	632.5681	2.0	10.0
3	1	1	0.0	1315.7576		
3	2	1	40.0	399.284	0.0	0.0
3	1	2	0.0	116.0103		
3	1	2	0.0	2848.768		
3	2	1	0.0	1632.3575	16.0	80.0
3	2	2			2.0	10.0
3	1	1				
3	2	2	20.0	1032.4839	10.0	50.0
3	1	2	0.0	49.3577		
3	1	1	0.0	1482.3891		
3	1	1				
3	1	2	0.0	2382.1996		
3	2	2	20.0	799.1997	10.0	50.0
3	2	2			2.0	10.0
3	1	2	0.0	482.5997		
5	1	1	0.0	2298.8838		
5	2	2	20.0	1765.6628	9.0	45.0
5	2	2	30.0	1499.0523	7.0	35.0
5	2	1	10.0	2032.2733	15.0	75.0
5	1	1	0.0	2182.2417		
5	2	2	40.0	1682.3470000000002	2.0	10.0
5	1	1	0.0	215.9892		
5	1	2	0.0	465.9366		
5	1	2	0.0	199.3261		
5	1	1	0.0	565.9155		
5	2	1			2.0	10.0
5	2	1	50.0	2248.8943	0.0	0.0
5	2	1	40.0	1549.0418	2.0	10.0
5	1	2	0.0	1182.4523		
5	1	1	0.0	565.9155		
5	2	1	30.0	2332.2101	8.0	40.0
5	2	2			0.0	0.0
5	1	2	0.0	449.2734		
5	1	2	0.0	1565.7049		
5	2	2	10.0	1615.6944	15.0	75.0
