Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
5	2	2	70	1033.1199	0.0	0.0
5	1	2	30	283.1596		
5	1	2	40	333.157		
5	1	2	40	333.157		
5	2	2	90	399.8201	0.0	0.0
5	1	2	20	1466.4304		
5	1	1	30	1033.1199		
5	2	1	80	683.1385	0.0	0.0
5	2	1	80	433.1517	0.0	0.0
5	2	2	80	833.1305	0.0	0.0
5	1	1	30	1116.4489		
5	2	1	80	866.4621	0.0	0.0
5	1	1	20	433.1517		
5	2	1	60	733.1358	0.0	0.0
5	1	1	30	483.149		
5	1	1	30	666.4727		
5	2	2	80	616.4753	0.0	0.0
5	1	2	30	366.4885		
5	2	2	80	316.4912	0.0	0.0
5	2	1	90	483.149	0.0	0.0
2	2	2	80	499.8148	0.0	0.0
2	2	1	80	316.4912	0.0	0.0
2	1	1	30	433.1517		
2	2	2	80	399.8201	0.0	0.0
2	2	1	70	433.1517	0.0	0.0
2	1	2	30	299.8254		
2	2	1	80	399.8201	0.0	0.0
2	2	2	80	16.5071	0.0	0.0
2	2	1	80	333.157	0.0	0.0
2	1	2	40	483.149		
2	1	2	40	283.1596		
2	2	2	90	416.4859	0.0	0.0
2	1	2	40	466.4833		
2	1	1	40	349.8228		
2	2	2	90	483.149	0.0	0.0
2	1	1	20	416.4859		
2	1	1	20	316.4912		
2	1	1	30	299.8254		
2	1	2	40	316.4912		
2	2	1	80	383.1543	0.0	0.0
4	1	1	40	266.4938		
4	2	2	80	233.1623	0.0	0.0
4	1	2	50	466.4833		
4	2	1	80	499.8148	0.0	0.0
4	1	2	50	299.8254		
4	2	2	90	733.1358	0.0	0.0
4	1	2	50	283.1596		
4	2	1	90	316.4912	0.0	0.0
4	2	2	100	299.8254	0.0	0.0
4	2	2	100	266.4938	0.0	0.0
4	1	2	50	316.4912		
4	1	1	50	466.4833		
4	2	1	100	283.1596	0.0	0.0
4	2	1	90	333.157	0.0	0.0
4	1	2	60	533.1464		
4	1	1	80	299.8254		
4	2	2	90	16.5071	0.0	0.0
4	1	1	90	316.4912		
4	2	1	90	216.4965	0.0	0.0
4	1	1	50	316.4912		
6	1	2	80	666.4727		
6	2	2	100	299.8254	0.0	0.0
6	2	2	90	349.8228	0.0	0.0
6	2	1	80	216.4965	0.0	0.0
6	1	2	60	349.8228		
6	1	1	40	533.1464		
6	1	1	60	283.1596		
6	1	1	60	433.1517		
6	1	1	70	133.1676		
6	1	2	80	299.8254		
6	2	1	90	366.4885	0.0	0.0
6	2	1	90	316.4912	0.0	0.0
6	1	2	90	333.157		
6	1	2	90	283.1596		
6	2	2	90	283.1596	0.0	0.0
6	2	1	90	283.1596	0.0	0.0
6	2	2	80	1716.4171	0.0	0.0
6	2	1	90	399.8201	0.0	0.0
6	1	1	90	566.4780000000001		
6	2	2	90	299.8254	0.0	0.0
1	1	2	90	83.1702		
1	1	1	90	399.8201		
1	2	2	90	116.5018	0.0	0.0
1	1	2	90	83.1702		
1	2	2	90	799.799	0.0	0.0
1	2	2	90	249.8281	0.0	0.0
1	2	2	70	1099.7831	0.0	0.0
1	1	2	80	66.5044		
1	2	1	90	599.8095	0.0	0.0
1	2	2	90	16.5071	0.0	0.0
1	1	1	90	1049.7857		
1	1	2	90	233.1623		
1	1	1	90	316.4912		
1	1	2	90	333.157		
1	2	1	70	399.8201	0.0	0.0
1	1	1	80	283.1596		
1	2	1	80	283.1596	0.0	0.0
1	1	1	90	299.8254		
1	2	1	90	333.157	0.0	0.0
1	2	1	90	299.8254	0.0	0.0
3	2	2	90	283.1596	0.0	0.0
3	2	1	90	349.8228	0.0	0.0
3	1	2	90	16.5071		
3	1	1	90	499.8148		
3	1	1	90	1233.1094		
3	1	2	90	99.836		
3	1	1	90	116.5018		
3	2	1	90	16.5071	0.0	0.0
3	2	2	90	16.5071	0.0	0.0
3	1	2	90	383.1543		
3	2	2	90	16.5071	0.0	0.0
3	1	1	90	249.8281		
3	1	2	90	349.8228		
3	1	1	90	333.157		
3	2	1	90	416.4859	0.0	0.0
3	2	1	90	233.1623	0.0	0.0
3	1	2	90	699.8042		
3	2	1	90	16.5071	0.0	0.0
3	2	2	90	16.5071	0.0	0.0
3	2	2	90	299.8254	0.0	0.0
