Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
3	Dictator	Person	70	1855.6391	n/a	n/a
3	Ultimatum	PC	80	3.4881	0	0
3	Ultimatum	Person	80	303.8369	0	0
3	Dictator	Person	50	971.2787	n/a	n/a
3	Ultimatum	Person	80	320.523	0	0
3	Dictator	PC	30	170.3485	n/a	n/a
3	Ultimatum	Person	80	1188.1973	0	0
3	Dictator	Person	0	754.3601	n/a	n/a
3	Ultimatum	Person	80	1521.9182	0	0
3	Dictator	PC	20	1154.8252	n/a	n/a
3	Dictator	Person	20	403.9532	n/a	n/a
3	Ultimatum	PC	80	704.302	0	0
3	Dictator	PC	10	787.7322	n/a	n/a
3	Dictator	PC	10	704.302	n/a	n/a
3	Ultimatum	PC	90	136.9765	0	0
3	Ultimatum	PC	80	70.2323	0	0
3	Ultimatum	Person	90	1622.0345	0	0
3	Ultimatum	PC	90	1822.267	0	0
3	Dictator	PC	10	1038.0229	n/a	n/a
4	Dictator	Person	0	971.2787	n/a	n/a
4	Ultimatum	Person	80	887.8485	0	0
4	Dictator	PC	10	86.9183	n/a	n/a
4	Dictator	Person	20	887.8485	n/a	n/a
4	Ultimatum	Person	90	1038.0229	0	0
4	Ultimatum	PC	100	704.302	0	0
4	Ultimatum	PC	90	737.6741	0	0
4	Dictator	PC	10	287.1509	n/a	n/a
4	Dictator	Person	0	971.2787	n/a	n/a
4	Dictator	PC	0	1755.5228	n/a	n/a
4	Dictator	PC	10	637.5578	n/a	n/a
4	Ultimatum	PC	90	537.4415	0	0
4	Ultimatum	PC	70	670.9299	0	0
4	Ultimatum	Person	n/a	NaN	0	0
4	Ultimatum	PC	100	454.0113	0	0
4	Dictator	Person	0	687.6159	n/a	n/a
4	Dictator	Person	0	821.1043	n/a	n/a
4	Ultimatum	Person	80	1238.2554	0	0
4	Dictator	Person	30	987.9648	n/a	n/a
4	Dictator	PC	20	587.4997	n/a	n/a
5	Ultimatum	Person	90	737.6741	0	0
5	Ultimatum	PC	100	587.4997	0	0
5	Ultimatum	PC	70	353.895	0	0
5	Dictator	Person	30	771.0462	n/a	n/a
5	Dictator	PC	60	537.4415	n/a	n/a
5	Dictator	PC	10	1571.9763	n/a	n/a
