Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
1	Dictator	PC	0	3.2313	n/a	n/a
1	Dictator	Person	n/a	NaN	n/a	n/a
1	Dictator	Person	20	270.1852	n/a	n/a
1	Ultimatum	PC	70	120.0237	0	0
1	Ultimatum	Person	80	787.4084	0	0
1	Ultimatum	Person	60	1020.9931	0	0
1	Dictator	PC	20	69.9698	n/a	n/a
1	Ultimatum	PC	80	86.6544	0	0
1	Dictator	Person	30	3.2313	n/a	n/a
1	Ultimatum	Person	80	970.9392	0	0
1	Ultimatum	PC	80	1371.3701	0	0
1	Dictator	PC	20	136.7083	n/a	n/a
1	Ultimatum	Person	90	1404.7393	0	0
1	Ultimatum	PC	80	2772.878	0	0
1	Dictator	Person	0	3.2313	n/a	n/a
1	Dictator	Person	n/a	NaN	n/a	n/a
1	Dictator	PC	n/a	NaN	n/a	n/a
1	Dictator	PC	n/a	NaN	n/a	n/a
1	Ultimatum	Person	70	3.2313	0	0
4	Ultimatum	PC	n/a	NaN	0	0
4	Dictator	PC	40	970.9392	n/a	n/a
4	Dictator	Person	30	203.4468	n/a	n/a
4	Dictator	Person	n/a	NaN	n/a	n/a
4	Ultimatum	Person	70	270.1852	0	0
4	Ultimatum	PC	n/a	NaN	2	10
4	Ultimatum	Person	70	270.1852	0	0
4	Dictator	Person	n/a	NaN	n/a	n/a
4	Ultimatum	PC	n/a	NaN	2	10
4	Dictator	PC	n/a	NaN	n/a	n/a
4	Dictator	PC	n/a	NaN	n/a	n/a
4	Ultimatum	Person	n/a	NaN	0	0
4	Dictator	Person	0	236.816	n/a	n/a
4	Ultimatum	PC	n/a	NaN	0	0
4	Ultimatum	PC	n/a	NaN	0	0
4	Dictator	Person	n/a	NaN	n/a	n/a
4	Ultimatum	Person	n/a	NaN	0	0
4	Dictator	PC	n/a	NaN	n/a	n/a
4	Ultimatum	PC	n/a	NaN	0	0
4	Ultimatum	Person	90	2389.1318	0	0
3	Dictator	PC	0	3.2313	n/a	n/a
3	Ultimatum	PC	60	787.4084	0	0
3	Dictator	Person	n/a	NaN	n/a	n/a
3	Ultimatum	PC	80	53.2852	0	0
3	Dictator	PC	0	86.6544	n/a	n/a
3	Ultimatum	Person	60	86.6544	0	0
3	Dictator	PC	n/a	NaN	n/a	n/a
3	Dictator	Person	n/a	NaN	n/a	n/a
3	Ultimatum	Person	n/a	NaN	2	10
3	Dictator	Person	10	837.4623	n/a	n/a
3	Ultimatum	PC	n/a	NaN	0	0
3	Dictator	PC	n/a	NaN	n/a	n/a
3	Ultimatum	Person	n/a	NaN	2	10
3	Ultimatum	PC	100	1037.6777	0	0
3	Dictator	PC	30	120.0237	n/a	n/a
3	Dictator	Person	n/a	NaN	n/a	n/a
3	Ultimatum	PC	n/a	NaN	0	0
3	Ultimatum	Person	60	170.0775	0	0
3	Ultimatum	Person	n/a	NaN	0	0
3	Dictator	PC	n/a	NaN	n/a	n/a
2	Dictator	Person	n/a	NaN	n/a	n/a
2	Ultimatum	Person	n/a	NaN	0	0
2	Ultimatum	Person	70	3.2313	0	0
2	Dictator	Person	20	186.7621	n/a	n/a
2	Dictator	PC	n/a	NaN	n/a	n/a
2	Dictator	Person	30	437.0314	n/a	n/a
2	Dictator	Person	n/a	NaN	n/a	n/a
2	Ultimatum	PC	n/a	NaN	0	0
2	Dictator	Person	n/a	NaN	n/a	n/a
2	Ultimatum	Person	100	69.9698	0	0
2	Ultimatum	Person	n/a	NaN	2	10
2	Dictator	PC	0	286.8698	n/a	n/a
2	Ultimatum	PC	80	1604.9547	0	0
2	Ultimatum	PC	60	253.5006	0	0
2	Dictator	Person	10	236.816	n/a	n/a
2	Dictator	PC	n/a	NaN	n/a	n/a
2	Ultimatum	Person	n/a	NaN	2	10
2	Dictator	PC	n/a	NaN	n/a	n/a
2	Ultimatum	PC	n/a	NaN	0	0
2	Dictator	PC	n/a	NaN	n/a	n/a
6	Ultimatum	PC	n/a	NaN	2	10
6	Dictator	Person	n/a	NaN	n/a	n/a
6	Dictator	Person	n/a	NaN	n/a	n/a
6	Dictator	PC	20	804.093	n/a	n/a
6	Ultimatum	Person	n/a	NaN	2	10
6	Dictator	PC	0	3.2313	n/a	n/a
6	Ultimatum	PC	60	3.2313	0	0
6	Ultimatum	PC	n/a	NaN	0	0
6	Ultimatum	PC	90	553.8237	0	0
6	Dictator	PC	n/a	NaN	n/a	n/a
6	Dictator	PC	n/a	NaN	n/a	n/a
6	Dictator	Person	n/a	NaN	n/a	n/a
6	Dictator	Person	n/a	NaN	n/a	n/a
6	Ultimatum	Person	80	103.339	0	0
6	Ultimatum	PC	80	920.8854	0	0
6	Ultimatum	Person	100	1871.9086	0	0
6	Dictator	Person	n/a	NaN	n/a	n/a
6	Ultimatum	PC	70	2038.7548	0	0
6	Ultimatum	Person	80	904.2007	0	0
6	Ultimatum	Person	80	754.0392	0	0
5	Dictator	PC	30	920.8854	n/a	n/a
5	Ultimatum	PC	70	520.4545	0	0
5	Ultimatum	Person	n/a	NaN	0	0
5	Ultimatum	Person	80	837.4623	0	0
5	Dictator	Person	n/a	NaN	n/a	n/a
5	Dictator	PC	n/a	NaN	n/a	n/a
5	Dictator	PC	30	1121.1008	n/a	n/a
5	Ultimatum	PC	n/a	NaN	2	10
5	Ultimatum	PC	n/a	NaN	0	0
5	Dictator	Person	40	103.339	n/a	n/a
5	Dictator	Person	n/a	NaN	n/a	n/a
5	Dictator	PC	30	870.8315	n/a	n/a
5	Ultimatum	Person	100	854.1469	0	0
5	Dictator	Person	30	203.4468	n/a	n/a
5	Ultimatum	Person	80	3.2313	0	0
5	Ultimatum	PC	90	1221.2085	0	0
5	Dictator	PC	n/a	NaN	n/a	n/a
