Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
1	Ultimatum	PC	100	53.6092	0	0
1	Dictator	PC	0	1188.2836	n/a	n/a
1	Dictator	Person	30	604.26	n/a	n/a
1	Ultimatum	Person	30	671.0056	7	35
1	Ultimatum	Person	100	2539.8811	0	0
1	Ultimatum	PC	100	1555.3842	0	0
1	Ultimatum	PC	100	904.615	0	0
1	Ultimatum	Person	60	1471.9522	0	0
1	Dictator	Person	40	921.3014	n/a	n/a
1	Ultimatum	PC	100	2139.4078	0	0
1	Ultimatum	Person	70	1188.2836	0	0
1	Dictator	Person	50	1471.9522	n/a	n/a
1	Dictator	PC	0	487.4553	n/a	n/a
1	Dictator	PC	0	721.0647	n/a	n/a
1	Dictator	Person	n/a	NaN	n/a	n/a
1	Ultimatum	PC	100	1421.8931	0	0
1	Dictator	Person	40	754.4375	n/a	n/a
1	Dictator	PC	0	404.0233	n/a	n/a
1	Ultimatum	Person	50	2339.6444	0	0
4	Dictator	PC	0	86.9819	n/a	n/a
4	Dictator	Person	n/a	NaN	n/a	n/a
4	Dictator	Person	40	287.2186	n/a	n/a
4	Ultimatum	Person	50	454.0825	0	0
4	Ultimatum	PC	50	1989.2303	0	0
4	Ultimatum	Person	50	237.1594	0	0
4	Dictator	PC	0	153.7275	n/a	n/a
4	Dictator	PC	0	220.4731	n/a	n/a
4	Ultimatum	Person	50	270.5322	0	0
4	Ultimatum	Person	50	1371.8339	0	0
4	Dictator	Person	40	3.55	n/a	n/a
4	Ultimatum	Person	50	1138.2244	0	0
4	Dictator	PC	0	320.5914	n/a	n/a
4	Ultimatum	PC	50	587.5736	0	0
4	Ultimatum	PC	50	420.7097	0	0
4	Ultimatum	PC	50	554.2008	0	0
4	Dictator	PC	0	771.1239	n/a	n/a
4	Ultimatum	PC	50	404.0233	0	0
4	Dictator	Person	40	771.1239	n/a	n/a
4	Dictator	Person	40	320.5914	n/a	n/a
6	Dictator	PC	0	904.615	n/a	n/a
6	Dictator	PC	0	1221.6564	n/a	n/a
6	Ultimatum	PC	50	1221.6564	0	0
6	Dictator	PC	0	320.5914	n/a	n/a
6	Dictator	Person	40	1004.7333	n/a	n/a
6	Dictator	PC	0	303.905	n/a	n/a
6	Dictator	Person	40	2973.7272	n/a	n/a
6	Dictator	Person	40	1071.4789	n/a	n/a
6	Dictator	Person	40	270.5322	n/a	n/a
6	Ultimatum	Person	50	1755.6208	0	0
6	Ultimatum	PC	50	1238.3428	0	0
6	Dictator	PC	0	704.3783	n/a	n/a
6	Ultimatum	Person	50	320.5914	0	0
6	Ultimatum	PC	50	320.5914	0	0
6	Dictator	PC	0	320.5914	n/a	n/a
6	Ultimatum	Person	50	887.9286	0	0
6	Ultimatum	PC	50	1538.6978	0	0
6	Ultimatum	PC	50	804.4967	0	0
6	Dictator	Person	40	687.6919	n/a	n/a
6	Ultimatum	Person	50	303.905	0	0
2	Ultimatum	Person	50	387.3369	0	0
2	Dictator	PC	0	554.2008	n/a	n/a
2	Ultimatum	Person	50	620.9464	0	0
2	Dictator	Person	n/a	NaN	n/a	n/a
2	Ultimatum	Person	50	303.905	0	0
2	Ultimatum	PC	50	287.2186	0	0
2	Dictator	Person	40	804.4967	n/a	n/a
2	Dictator	PC	0	287.2186	n/a	n/a
2	Ultimatum	Person	50	337.2778	0	0
2	Dictator	PC	0	1388.5203	n/a	n/a
2	Dictator	PC	40	1922.4847	n/a	n/a
2	Ultimatum	Person	50	2122.7214	0	0
2	Ultimatum	PC	50	470.7689	0	0
2	Dictator	Person	40	320.5914	n/a	n/a
