StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	1	1	0	1002.4171
2	3	4	0	1352.8401
2	2	1	1	1169.2852
2	2	3	0	1269.406
2	3	5	0	1336.1533
2	1	3	0	935.6699
2	1	5	0	752.115
2	3	1	1	818.8622
2	1	4	0	1019.1039
2	1	4	0	568.5601
2	1	5	0	668.6809
2	2	4	0	1119.2248
2	1	3	1	1152.5984
2	2	2	1	835.549
2	1	1	1	868.9226
2	1	5	0	1019.1039
2	2	5	0	618.6205
2	1	2	1	1669.8895
2	1	1	1	618.6205
2	2	3	0	785.4886
2	2	4	0	618.6205
2	3	3	0	1069.1643
2	3	4	0	568.5601
2	1	2	1	685.3677
2	2	4	0	1019.1039
2	3	4	0	401.692
2	3	1	1	935.6699
2	1	2	1	952.3567
2	3	3	0	885.6094
2	3	5	0	518.4996
2	2	3	0	835.549
2	2	1	1	635.3073
2	3	5	0	685.3677
2	3	2	1	1102.538
2	3	1	1	1219.3456
2	2	5	0	835.549
2	2	1	1	668.6809
2	1	4	0	785.4886
2	2	5	0	468.4392
2	3	2	1	1202.6588
2	3	3	0	852.2358
2	3	2	1	1169.2852
2	2	2	0	685.3677
2	2	2	0	752.115
2	1	3	0	1586.4554
3	2	2	0	852.2358
3	3	5	0	651.9941
3	1	1	1	1052.4775
3	1	3	0	835.549
3	2	3	0	618.6205
3	3	5	0	868.9226
3	1	1	1	668.6809
3	2	3	0	752.115
3	3	1	1	1319.4665
3	1	5	0	551.8733
3	2	2	1	835.549
3	2	1	1	535.1864
3	3	2	1	1069.1643
3	1	4	0	568.5601
3	3	4	0	802.1754
3	1	1	1	802.1754
3	2	3	0	768.8018
3	3	3	0	535.1864
3	3	4	0	1219.3456
3	1	2	0	835.549
3	1	2	1	935.6699
3	3	2	1	835.549
3	2	5	0	668.6809
3	2	1	1	618.6205
3	1	3	0	985.7303
3	2	4	0	651.9941
3	1	3	0	902.2962
3	2	4	0	435.0656
3	2	4	0	401.692
3	1	2	1	601.9337
3	3	1	1	885.6094
3	2	5	0	952.3567
3	3	3	1	1302.7797
3	3	2	1	1169.2852
3	1	4	0	518.4996
3	3	1	1	618.6205
3	1	4	0	918.9831
3	3	4	0	1052.4775
3	1	5	0	768.8018
3	1	5	0	1052.4775
3	3	5	0	635.3073
3	3	3	0	1219.3456
3	2	1	1	1603.1422
3	2	2	1	1286.0929
3	2	5	0	1202.6588
1	3	4	0	1019.1039
1	1	2	1	1119.2248
1	1	1	1	852.2358
1	1	4	0	752.115
1	3	5	0	1419.5873
1	2	5	0	685.3677
1	1	1	1	868.9226
1	2	5	0	868.9226
1	3	5	0	585.2469
1	2	1	1	818.8622
1	3	3	0	785.4886
1	1	3	0	718.7413
1	3	5	0	668.6809
1	1	1	1	785.4886
1	1	5	0	585.2469
1	1	5	0	935.6699
1	2	2	1	1302.7797
1	1	2	1	618.6205
1	1	4	0	802.1754
1	1	3	0	1503.0214
1	2	4	0	752.115
1	2	4	0	802.1754
1	1	3	0	1119.2248
1	3	1	1	885.6094
1	3	2	1	1152.5984
1	3	2	1	835.549
1	2	4	0	1169.2852
1	3	3	0	1386.2137
1	2	3	0	868.9226
1	2	3	0	818.8622
1	2	2	1	785.4886
1	1	5	0	735.4282
1	3	1	1	618.6205
1	2	3	0	485.126
1	3	3	0	435.0656
1	3	1	1	735.4282
1	2	1	1	785.4886
1	3	4	0	735.4282
1	2	1	1	702.0545
1	3	2	1	685.3677
1	3	4	0	651.9941
1	2	2	1	752.115
1	1	2	1	735.4282
1	2	5	0	685.3677
1	1	4	0	568.5601
