StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $6, Give $4	3
3	 	Keep $9, Give $1	1
3	Rating 5/5	Keep $7, Give $3	3
3	 	Keep $8, Give $2	2
3	 	Keep $5, Give $5	4
3	 	Keep $7, Give $3	2
3	Rating 5/5	Keep $6, Give $4	3
3	Rating: 3/5	Keep $8, Give $2	2
3	Rating: 3/5	Keep $5, Give $5	4
3	Rating: 3/5	Keep $7, Give $3	3
3	Rating: 3/5	Keep $9, Give $1	1
3	 	Keep $6, Give $4	4
3	Rating 5/5	Keep $9, Give $1	1
1	Rating: 3/5	Keep $7, Give $3	3
1	 	Keep $9, Give $1	1
1	Rating: 3/5	Keep $9, Give $1	1
1	 	Keep $8, Give $2	1
1	 	Keep $5, Give $5	4
1	Rating 5/5	Keep $9, Give $1	1
1	Rating 5/5	Keep $7, Give $3	3
1	Rating 5/5	Keep $6, Give $4	4
1	Rating: 3/5	Keep $6, Give $4	4
2	 	Keep $7, Give $3	3
2	Rating 5/5	Keep $7, Give $3	2
2	 	Keep $8, Give $2	2
2	Rating 5/5	Keep $5, Give $5	4
2	Rating: 3/5	Keep $6, Give $4	4
2	Rating 5/5	Keep $9, Give $1	1
2	Rating: 3/5	Keep $5, Give $5	4
2	 	Keep $6, Give $4	4
2	Rating 5/5	Keep $6, Give $4	4
2	Rating: 3/5	Keep $8, Give $2	2
2	Rating: 3/5	Keep $9, Give $1	1
2	Rating 5/5	Keep $8, Give $2	2
2	Rating: 3/5	Keep $7, Give $3	2
