StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
3	Rating 5/5	Keep $8, Give $2	Accept	384.8868
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	 	Keep $7, Give $3	Accept	1669.3556
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	Rating 5/5	Keep $8, Give $2	Accept	1435.9655
2	 	Keep $7, Give $3	Accept	1803.0288
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	Rating 5/5	Keep $8, Give $2	Reject	1536.3989
1	 	Keep $7, Give $3	Accept	1069.1675
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	Rating 5/5	Keep $8, Give $2	Accept	134.4267
2	 	Keep $7, Give $3	Reject	234.5232
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	 	Keep $7, Give $3	Accept	1085.7222
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	 	Keep $7, Give $3	Accept	1686.1744
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	 	Keep $7, Give $3	Accept	1219.3236
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	Rating 5/5	Keep $8, Give $2	Accept	2203.5519
1	 	Keep $7, Give $3	Reject	1602.8859
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
3	Rating 5/5	Keep $8, Give $2	Accept	1486.7027
3	 	Keep $7, Give $3	Reject	1987.3811
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	 	Keep $7, Give $3	Accept	401.4545
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	 	Keep $7, Give $3	Accept	1652.7389
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	Rating 5/5	Keep $8, Give $2	Reject	1653.0184
1	 	Keep $7, Give $3	Accept	1185.8202
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
3	Rating 5/5	Keep $8, Give $2	Accept	652.0004
3	 	Keep $7, Give $3	Reject	735.4348
StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
1	Rating 5/5	Keep $8, Give $2	Accept	932.5632
