StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
2	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $5, Give $5	4
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
2	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
2	Rating: 3/5	Keep $5, Give $5	2
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $5, Give $5	4
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $5, Give $5	4
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
2	Rating: 3/5	Keep $5, Give $5	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $7, Give $3	4
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $7, Give $3	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $7, Give $3	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating 5/5	Keep $9, Give $1	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $9, Give $1	3
1	Rating: 3/5	Keep $5, Give $5	3
1	 	Keep $6, Give $4	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
3	Rating: 3/5	Keep $7, Give $3	3
3	 	Keep $8, Give $2	3
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $5, Give $5	3
1	Rating: 3/5	Keep $7, Give $3	4
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $6, Give $4	2
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $8, Give $2	2
1	Rating: 3/5	Keep $6, Give $4	3
1	 	Keep $9, Give $1	1
1	Rating: 3/5	Keep $8, Give $2	2
1	Rating: 3/5	Keep $9, Give $1	1
1	Rating 5/5	Keep $6, Give $4	4
1	 	Keep $7, Give $3	3
1	Rating 5/5	Keep $8, Give $2	2
2	 	Keep $9, Give $1	1
2	 	Keep $8, Give $2	2
2	Rating 5/5	Keep $7, Give $3	3
2	Rating: 3/5	Keep $6, Give $4	4
2	Rating 5/5	Keep $9, Give $1	1
2	 	Keep $7, Give $3	3
2	Rating: 3/5	Keep $7, Give $3	3
3	Rating 5/5	Keep $7, Give $3	3
3	Rating 5/5	Keep $6, Give $4	4
3	Rating: 3/5	Keep $8, Give $2	2
3	 	Keep $9, Give $1	1
3	Rating: 3/5	Keep $7, Give $3	3
3	 	Keep $7, Give $3	3
3	Rating 5/5	Keep $9, Give $1	1
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $6, Give $4	3
1	 	Keep $8, Give $2	2
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	 	Keep $9, Give $1	3
1	Rating 5/5	Keep $6, Give $4	n/a
1	Rating: 3/5	Keep $6, Give $4	n/a
1	 	Keep $7, Give $3	n/a
1	 	Keep $5, Give $5	1
1	Rating: 3/5	Keep $7, Give $3	4
1	Rating 5/5	Keep $5, Give $5	n/a
1	Rating 5/5	Keep $7, Give $3	n/a
1	Rating 5/5	Keep $7, Give $3	n/a
1	 	Keep $8, Give $2	n/a
1	Rating 5/5	Keep $7, Give $3	n/a
StimulationCondition	PartnerType	OfferType	PerceviedFairness
1	Rating: 3/5	Keep $8, Give $2	3
1	Rating: 3/5	Keep $9, Give $1	1
1	 	Keep $9, Give $1	1
1	Rating: 3/5	Keep $8, Give $2	n/a
1	Rating 5/5	Keep $6, Give $4	4
1	Rating 5/5	Keep $7, Give $3	2
