StimulationCondition	PartnerType	OfferType	PlayerChoice	PlayerReactionTime
2	Rating 5/5	Keep $9, Give $1	Reject	1015.9584
2	Rating 5/5	Keep $9, Give $1	Reject	782.707
2	 	Keep $6, Give $4	Accept	732.7245
2	Rating 5/5	Keep $7, Give $3	Reject	666.0813
2	 	Keep $8, Give $2	Reject	649.4205
2	Rating: 3/5	Keep $9, Give $1	Reject	1632.4084
2	 	Keep $5, Give $5	Accept	1282.5314
2	Rating: 3/5	Keep $8, Give $2	Reject	982.6367
2	 	Keep $6, Give $4	Accept	749.3853
2	Rating: 3/5	Keep $7, Give $3	Reject	682.7421
2	 	Keep $8, Give $2	Reject	699.4029
2	Rating: 3/5	Keep $8, Give $2	Reject	766.0462
2	Rating 5/5	Keep $6, Give $4	Accept	782.707
2	Rating 5/5	Keep $8, Give $2	Reject	532.7948
2	 	Keep $5, Give $5	Accept	766.0462
2	Rating: 3/5	Keep $6, Give $4	Accept	866.011
2	 	Keep $9, Give $1	Reject	632.7597
2	Rating 5/5	Keep $7, Give $3	Reject	832.6894
2	Rating: 3/5	Keep $5, Give $5	Accept	699.4029
2	Rating 5/5	Keep $9, Give $1	Reject	566.1164
2	 	Keep $5, Give $5	Accept	616.0988
2	Rating 5/5	Keep $8, Give $2	Reject	599.438
2	Rating: 3/5	Keep $7, Give $3	Reject	782.707
2	Rating 5/5	Keep $5, Give $5	Accept	816.0286
2	 	Keep $7, Give $3	Reject	599.438
2	Rating 5/5	Keep $5, Give $5	Accept	666.0813
2	Rating 5/5	Keep $5, Give $5	Accept	899.3327
2	Rating 5/5	Keep $8, Give $2	Reject	616.0988
2	Rating: 3/5	Keep $9, Give $1	Reject	666.0813
2	Rating: 3/5	Keep $8, Give $2	Reject	599.438
2	 	Keep $9, Give $1	Reject	599.438
2	Rating: 3/5	Keep $6, Give $4	Accept	799.3678
2	 	Keep $6, Give $4	Accept	899.3327
2	Rating 5/5	Keep $6, Give $4	Accept	682.7421
2	 	Keep $9, Give $1	Reject	866.011
2	Rating: 3/5	Keep $5, Give $5	Accept	915.9935
2	 	Keep $7, Give $3	Reject	932.6543
2	Rating 5/5	Keep $7, Give $3	Reject	816.0286
2	 	Keep $8, Give $2	Reject	1032.6192
2	Rating: 3/5	Keep $9, Give $1	Reject	732.7245
2	 	Keep $7, Give $3	Reject	599.438
2	Rating: 3/5	Keep $7, Give $3	Reject	949.3151
2	Rating: 3/5	Keep $5, Give $5	Accept	932.6543
2	Rating: 3/5	Keep $6, Give $4	Accept	1315.853
2	Rating 5/5	Keep $6, Give $4	Accept	965.9759
3	Rating: 3/5	Keep $6, Give $4	Reject	816.0286
3	Rating: 3/5	Keep $7, Give $3	Reject	682.7421
3	 	Keep $7, Give $3	Reject	582.7772
3	 	Keep $8, Give $2	Reject	699.4029
