TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
2	1	7	High	1	1398.1827
3	1	7	High	1	831.9451
4	1	7	High	1	1065.1018
5	1	7	High	1	532.1723
6	1	7	High	1	515.5182
7	1	7	High	1	482.2102
8	1	7	High	0	648.7506
9	1	7	Low	0	632.0966
10	1	7	High	1	1381.5287
11	1	7	High	0	948.5235
12	1	7	n/a	0	NaN
13	1	7	High	1	382.2859
14	1	7	Low	1	1015.1396
15	1	7	High	1	582.1344
16	1	7	Low	0	548.8263
17	1	7	Low	1	448.9021
18	1	7	Low	1	432.248
19	1	7	High	1	698.7128
20	1	7	High	1	831.9451
21	1	7	Low	0	598.7885
22	1	7	High	0	415.594
23	1	7	High	1	615.4425
24	1	7	Low	0	648.7506
25	1	7	Low	0	1181.6801
26	1	7	Low	0	365.6318
27	1	7	Low	1	415.594
28	1	7	High	1	798.637
29	1	7	High	1	915.2154
30	1	7	High	1	365.6318
31	1	7	High	0	682.0587
32	1	7	High	1	565.4804
33	1	7	High	1	515.5182
34	1	7	High	0	415.594
35	1	7	Low	1	648.7506
36	1	7	High	1	715.3668
37	1	7	Low	1	465.5561
38	1	7	High	1	515.5182
39	1	7	High	1	748.6749
40	1	7	Low	0	398.9399
41	2	8	Low	1	1181.6801
42	2	8	Low	0	532.1723
43	2	8	High	1	448.9021
44	2	8	High	1	348.9778
45	2	8	High	1	332.3237
46	2	8	High	1	532.1723
47	2	8	High	1	615.4425
48	2	8	High	1	648.7506
49	2	8	High	1	465.5561
50	2	8	High	0	998.4856
51	2	8	Low	0	665.4047
52	2	8	Low	0	365.6318
53	2	8	High	1	831.9451
54	2	8	High	1	415.594
55	2	8	Low	1	415.594
56	2	8	High	1	398.9399
57	2	8	High	1	365.6318
58	2	8	Low	1	648.7506
59	2	8	Low	0	515.5182
60	2	8	Low	0	315.6697
61	2	8	Low	1	815.2911
62	2	8	n/a	0	NaN
63	2	8	n/a	0	NaN
64	2	8	n/a	0	NaN
65	2	8	High	0	565.4804
66	2	8	Low	1	498.8642
67	2	8	High	1	915.2154
68	2	8	High	0	831.9451
69	2	8	High	1	515.5182
70	2	8	High	1	548.8263
71	2	8	Low	0	465.5561
72	2	8	High	1	299.0156
73	2	8	Low	0	632.0966
74	2	8	High	0	415.594
75	2	8	High	0	482.2102
76	2	8	High	0	931.8694
77	2	8	Low	1	498.8642
78	2	8	Low	1	365.6318
79	2	8	Low	0	815.2911
80	2	8	High	1	398.9399
81	3	1	Low	0	465.5561
82	3	1	High	1	1065.1018
83	3	1	n/a	0	NaN
84	3	1	High	1	565.4804
85	3	1	High	1	548.8263
86	3	1	High	0	432.248
87	3	1	Low	1	1098.4099
88	3	1	Low	0	665.4047
89	3	1	High	1	765.3289
90	3	1	Low	0	299.0156
91	3	1	High	0	815.2911
92	3	1	Low	1	648.7506
93	3	1	Low	1	398.9399
94	3	1	Low	1	515.5182
95	3	1	Low	0	565.4804
96	3	1	High	1	898.5613
97	3	1	Low	0	615.4425
98	3	1	Low	0	732.0209
99	3	1	Low	1	665.4047
100	3	1	Low	0	831.9451
101	3	1	High	1	332.3237
102	3	1	High	1	682.0587
103	3	1	High	1	532.1723
104	3	1	Low	0	765.3289
105	3	1	High	0	482.2102
106	3	1	Low	0	365.6318
107	3	1	Low	1	382.2859
108	3	1	Low	0	1131.718
109	3	1	Low	0	1048.4477
110	3	1	Low	0	15.8968
111	3	1	Low	0	498.8642
112	3	1	High	0	598.7885
113	3	1	High	1	881.9073
114	3	1	High	0	732.0209
115	3	1	High	1	1115.0639
116	3	1	High	1	1048.4477
117	3	1	High	1	432.248
118	3	1	High	0	565.4804
119	3	1	Low	0	532.1723
120	3	1	Low	1	299.0156
121	4	2	Low	0	915.2154
122	4	2	High	0	448.9021
123	4	2	High	1	332.3237
