TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	6	n/a	0	NaN
2	1	6	n/a	0	NaN
3	1	6	High	1	1249.3032
4	1	6	High	1	1332.6107
5	1	6	Low	0	849.4271
6	1	6	Low	0	766.1195
7	1	6	Low	1	732.7965
8	1	6	n/a	0	NaN
9	1	6	High	1	816.104
10	1	6	Low	1	516.197
11	1	6	High	1	982.7191
12	1	6	Low	0	1282.6262
13	1	6	High	1	966.0576
14	1	6	Low	1	1049.3651
15	1	6	n/a	0	NaN
16	1	6	n/a	0	NaN
17	1	6	High	1	749.458
18	1	6	High	0	1149.3341
19	1	6	Low	0	999.3806
20	1	6	Low	1	582.843
21	1	6	Low	1	1149.3341
22	1	6	Low	0	716.135
23	1	6	Low	0	499.5354
24	1	6	High	0	532.8585
25	1	6	High	1	766.1195
26	1	6	High	1	1399.2567
27	1	6	High	0	1349.2722
28	1	6	n/a	0	NaN
29	1	6	High	1	799.4425
30	1	6	High	1	1299.2877
31	1	6	High	1	949.3961
32	1	6	High	1	849.4271
33	1	6	High	1	566.1815
34	1	6	High	0	482.8739
35	1	6	n/a	0	NaN
36	1	6	High	1	549.52
37	1	6	High	1	699.4735
38	1	6	High	1	749.458
39	1	6	High	1	816.104
40	1	6	High	1	599.5045
41	2	7	n/a	0	NaN
42	2	7	Low	0	566.1815
43	2	7	High	1	449.5509
44	2	7	High	1	716.135
45	2	7	High	1	782.781
46	2	7	High	0	1082.6881
47	2	7	High	1	749.458
48	2	7	High	0	732.7965
49	2	7	High	1	499.5354
50	2	7	High	0	499.5354
51	2	7	Low	0	716.135
52	2	7	High	1	632.8275
53	2	7	High	1	666.1505
54	2	7	High	0	949.3961
55	2	7	High	1	732.7965
56	2	7	High	0	1049.3651
57	2	7	High	1	699.4735
58	2	7	Low	0	1399.2567
59	2	7	High	0	749.458
60	2	7	High	1	849.4271
61	2	7	High	1	832.7655
62	2	7	High	1	1016.0421
63	2	7	High	1	849.4271
64	2	7	High	0	616.166
