TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	1	n/a	0	NaN
2	1	1	n/a	0	NaN
3	1	1	n/a	0	NaN
4	1	1	n/a	0	NaN
5	1	1	n/a	0	NaN
6	1	1	High	1	365.5891
7	1	1	High	1	498.8173
8	1	1	High	1	565.4314
9	1	1	High	1	565.4314
10	1	1	High	1	465.5103
11	1	1	High	1	582.0849
12	1	1	High	0	448.8567
13	1	1	High	1	415.5497
14	1	1	High	1	398.8961
15	1	1	High	0	398.8961
16	1	1	High	0	448.8567
17	1	1	High	1	482.1638
18	1	1	High	1	448.8567
19	1	1	High	1	465.5103
20	1	1	High	1	382.2426
21	1	1	High	1	482.1638
22	1	1	High	1	682.0061
23	1	1	High	1	548.7779
24	1	1	High	1	632.0455
25	1	1	High	1	365.5891
26	1	1	Low	0	548.7779
27	1	1	High	1	348.9356
28	1	1	High	1	365.5891
29	1	1	High	1	565.4314
30	1	1	High	1	415.5497
31	1	1	High	0	465.5103
32	1	1	Low	1	898.5019
33	1	1	High	1	415.5497
34	1	1	High	1	465.5103
35	1	1	High	1	465.5103
36	1	1	High	0	582.0849
37	1	1	High	1	332.282
38	1	1	High	0	398.8961
39	1	1	High	1	632.0455
40	1	1	High	1	498.8173
41	2	2	Low	0	1164.9583
42	2	2	High	0	582.0849
43	2	2	Low	1	365.5891
44	2	2	Low	1	515.4708
45	2	2	Low	0	482.1638
46	2	2	Low	1	448.8567
47	2	2	Low	1	515.4708
48	2	2	Low	1	432.2032
49	2	2	Low	1	815.2343
50	2	2	Low	1	498.8173
51	2	2	Low	1	948.4625
52	2	2	Low	1	715.3131
53	2	2	Low	1	448.8567
54	2	2	Low	0	365.5891
55	2	2	Low	1	798.5808
56	2	2	n/a	0	NaN
57	2	2	Low	0	515.4708
58	2	2	Low	1	415.5497
59	2	2	Low	0	598.7385
60	2	2	Low	1	382.2426
61	2	2	Low	1	515.4708
62	2	2	Low	0	432.2032
63	2	2	Low	1	532.1244
64	2	2	Low	1	865.1949
65	2	2	Low	1	415.5497
66	2	2	Low	1	398.8961
67	2	2	Low	0	548.7779
68	2	2	Low	1	565.4314
69	2	2	High	1	598.7385
70	2	2	Low	1	398.8961
71	2	2	Low	1	448.8567
72	2	2	Low	0	532.1244
73	2	2	Low	0	398.8961
74	2	2	Low	1	398.8961
75	2	2	Low	1	448.8567
76	2	2	Low	0	365.5891
77	2	2	Low	0	515.4708
78	2	2	Low	0	398.8961
79	2	2	High	1	332.282
80	2	2	Low	0	382.2426
81	3	3	High	1	981.7695
82	3	3	High	1	482.1638
83	3	3	High	0	415.5497
84	3	3	High	1	515.4708
85	3	3	High	1	532.1244
86	3	3	High	0	532.1244
87	3	3	High	1	448.8567
88	3	3	High	1	515.4708
89	3	3	High	1	565.4314
90	3	3	High	0	465.5103
91	3	3	High	1	382.2426
92	3	3	High	1	482.1638
93	3	3	High	1	432.2032
94	3	3	High	1	382.2426
95	3	3	High	1	448.8567
96	3	3	High	0	532.1244
97	3	3	High	0	415.5497
98	3	3	Low	0	432.2032
99	3	3	High	1	432.2032
100	3	3	High	1	432.2032
101	3	3	High	1	565.4314
102	3	3	High	1	532.1244
103	3	3	High	1	548.7779
104	3	3	High	1	398.8961
105	3	3	High	0	515.4708
106	3	3	High	1	432.2032
107	3	3	High	1	448.8567
108	3	3	High	1	365.5891
109	3	3	High	1	598.7385
110	3	3	High	1	615.392
111	3	3	High	0	715.3131
112	3	3	High	0	482.1638
113	3	3	Low	0	315.6285
114	3	3	Low	0	515.4708
115	3	3	High	1	415.5497
116	3	3	High	0	432.2032
117	3	3	High	1	532.1244
118	3	3	High	0	682.0061
119	3	3	High	0	798.5808
120	3	3	High	1	915.1554
121	4	4	High	1	965.116
122	4	4	High	0	498.8173
123	4	4	Low	0	632.0455
124	4	4	High	1	398.8961
125	4	4	High	1	448.8567
126	4	4	High	1	482.1638
127	4	4	High	1	582.0849
128	4	4	High	1	415.5497
129	4	4	High	1	382.2426
130	4	4	High	1	448.8567
131	4	4	High	1	415.5497
132	4	4	High	1	398.8961
133	4	4	High	1	565.4314
134	4	4	High	0	1081.6907
135	4	4	High	0	382.2426
136	4	4	High	0	748.6202
137	4	4	High	0	332.282
138	4	4	Low	0	398.8961
139	4	4	Low	1	498.8173
140	4	4	High	1	398.8961
141	4	4	High	0	1281.533
142	4	4	High	1	565.4314
143	4	4	High	1	448.8567
144	4	4	High	0	398.8961
145	4	4	High	0	432.2032
146	4	4	High	1	415.5497
147	4	4	High	1	465.5103
148	4	4	High	1	548.7779
149	4	4	High	1	498.8173
150	4	4	High	1	831.8878
151	4	4	High	1	382.2426
152	4	4	High	1	365.5891
153	4	4	High	1	398.8961
154	4	4	High	1	348.9356
155	4	4	High	1	398.8961
156	4	4	High	1	515.4708
157	4	4	High	1	498.8173
158	4	4	High	1	615.392
159	4	4	High	1	348.9356
160	4	4	High	0	382.2426
161	5	5	High	1	648.773
162	5	5	High	0	432.2675
163	5	5	High	1	432.2675
164	5	5	High	0	432.2675
165	5	5	High	1	415.6132
166	5	5	High	1	382.3047
167	5	5	High	1	382.3047
168	5	5	High	1	432.2675
169	5	5	High	1	415.6132
170	5	5	High	1	415.6132
171	5	5	High	1	365.6504
172	5	5	High	0	482.2303
173	5	5	High	0	432.2675
174	5	5	High	0	365.6504
175	5	5	Low	1	432.2675
176	5	5	Low	1	332.3419
177	5	5	Low	1	398.9589
178	5	5	High	1	448.9218
179	5	5	Low	0	348.9961
180	5	5	High	1	532.1931
181	5	5	High	1	415.6132
182	5	5	High	0	848.6243
183	5	5	High	1	398.9589
184	5	5	High	1	365.6504
185	5	5	High	1	348.9961
186	5	5	High	1	365.6504
187	5	5	High	1	465.576
188	5	5	High	1	348.9961
189	5	5	High	1	632.1188
190	5	5	High	0	432.2675
191	5	5	High	1	415.6132
192	5	5	High	1	382.3047
193	5	5	High	1	415.6132
194	5	5	High	1	432.2675
195	5	5	High	1	382.3047
196	5	5	High	1	398.9589
197	5	5	High	0	365.6504
198	5	5	High	1	382.3047
199	5	5	High	1	332.3419
200	5	5	High	0	348.9961
201	6	6	High	0	648.773
202	6	6	High	1	415.6132
203	6	6	High	1	398.9589
204	6	6	High	1	398.9589
205	6	6	High	1	382.3047
206	6	6	High	1	415.6132
207	6	6	High	0	382.3047
208	6	6	High	1	998.5128
209	6	6	High	1	482.2303
210	6	6	High	0	382.3047
211	6	6	Low	1	382.3047
212	6	6	High	0	398.9589
213	6	6	Low	1	515.5389
214	6	6	High	0	598.8102
215	6	6	High	1	332.3419
216	6	6	High	1	382.3047
217	6	6	High	0	398.9589
218	6	6	High	1	565.5017
219	6	6	High	1	365.6504
220	6	6	High	1	498.8846
221	6	6	High	1	382.3047
222	6	6	High	1	398.9589
223	6	6	High	0	482.2303
224	6	6	High	1	398.9589
225	6	6	High	0	382.3047
226	6	6	Low	0	282.379
227	6	6	Low	0	398.9589
228	6	6	High	0	365.6504
229	6	6	High	1	365.6504
230	6	6	High	0	498.8846
231	6	6	High	0	515.5389
232	6	6	High	0	432.2675
233	6	6	High	1	831.9701
234	6	6	High	1	398.9589
235	6	6	High	1	365.6504
236	6	6	High	1	515.5389
237	6	6	High	0	498.8846
238	6	6	High	1	865.2786
239	6	6	High	1	715.3901
240	6	6	High	1	865.2786
241	7	7	High	1	1031.8213
242	7	7	High	1	465.576
243	7	7	High	0	498.8846
244	7	7	High	1	398.9589
245	7	7	High	1	348.9961
246	7	7	High	1	398.9589
247	7	7	High	1	432.2675
248	7	7	High	0	432.2675
249	7	7	High	1	482.2303
250	7	7	High	1	465.576
251	7	7	High	0	415.6132
252	7	7	High	0	515.5389
253	7	7	High	0	665.4273
254	7	7	High	1	848.6243
255	7	7	High	1	482.2303
256	7	7	High	1	482.2303
257	7	7	High	1	765.353
258	7	7	High	1	498.8846
259	7	7	High	1	415.6132
260	7	7	High	1	515.5389
261	7	7	High	1	615.4645
262	7	7	High	0	582.156
263	7	7	High	1	665.4273
264	7	7	n/a	0	NaN
265	7	7	High	1	598.8102
266	7	7	High	1	648.773
267	7	7	High	0	648.773
268	7	7	High	1	582.156
269	7	7	High	0	532.1931
270	7	7	High	1	365.6504
271	7	7	High	1	365.6504
272	7	7	High	1	448.9218
273	7	7	High	0	415.6132
274	7	7	High	1	632.1188
275	7	7	High	1	548.8474
276	7	7	High	1	598.8102
277	7	7	High	1	482.2303
278	7	7	High	1	815.3158
279	7	7	High	1	1131.747
280	7	7	High	1	881.9329
281	8	8	Low	0	782.0072
282	8	8	Low	0	482.2303
283	8	8	High	1	348.9961
284	8	8	Low	0	382.3047
285	8	8	High	0	931.8957
286	8	8	Low	0	415.6132
287	8	8	Low	0	382.3047
288	8	8	Low	1	365.6504
289	8	8	Low	0	448.9218
290	8	8	High	1	598.8102
291	8	8	High	0	415.6132
292	8	8	Low	0	299.0333
293	8	8	Low	1	382.3047
294	8	8	High	1	365.6504
295	8	8	Low	1	782.0072
296	8	8	Low	0	432.2675
297	8	8	Low	1	415.6132
298	8	8	High	0	565.5017
299	8	8	Low	1	415.6132
300	8	8	Low	0	515.5389
301	8	8	High	0	465.576
302	8	8	Low	0	465.576
303	8	8	Low	1	931.8957
304	8	8	Low	1	332.3419
305	8	8	Low	0	398.9589
306	8	8	High	1	498.8846
307	8	8	Low	0	515.5389
308	8	8	Low	1	348.9961
309	8	8	Low	1	415.6132
310	8	8	Low	0	582.156
311	8	8	Low	1	565.5017
312	8	8	Low	1	465.576
313	8	8	Low	0	465.576
314	8	8	Low	0	498.8846
315	8	8	High	1	365.6504
316	8	8	Low	1	398.9589
317	8	8	Low	0	415.6132
318	8	8	High	0	365.6504
319	8	8	Low	1	415.6132
320	8	8	Low	0	382.3047
