TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
2	1	7	n/a	0	NaN
3	1	7	n/a	0	NaN
4	1	7	High	1	1098.4165
5	1	7	High	1	748.6804
6	1	7	High	1	665.4099
7	1	7	High	1	498.869
8	1	7	High	1	582.1395
9	1	7	High	1	482.2149
10	1	7	High	1	498.869
11	1	7	High	1	448.9067
12	1	7	High	1	415.5985
13	1	7	High	1	448.9067
14	1	7	High	1	432.2526
15	1	7	High	0	432.2526
16	1	7	High	0	415.5985
17	1	7	High	1	648.7559
18	1	7	High	1	682.064
19	1	7	High	1	398.9444
20	1	7	High	1	398.9444
21	1	7	High	0	482.2149
22	1	7	High	1	432.2526
23	1	7	High	1	448.9067
24	1	7	High	0	565.4854
25	1	7	High	1	365.6362
26	1	7	High	0	348.9821
27	1	7	High	0	398.9444
28	1	7	High	1	398.9444
29	1	7	High	1	432.2526
30	1	7	High	1	415.5985
31	1	7	High	1	448.9067
32	1	7	High	1	398.9444
33	1	7	High	0	382.2903
34	1	7	Low	0	365.6362
35	1	7	High	1	548.8313
36	1	7	High	1	415.5985
37	1	7	High	0	732.0263
38	1	7	High	1	515.5231
39	1	7	High	1	415.5985
40	1	7	High	1	398.9444
41	2	8	High	0	1098.4165
42	2	8	Low	0	532.1772
43	2	8	Low	1	515.5231
44	2	8	Low	0	348.9821
45	2	8	Low	0	365.6362
46	2	8	High	1	632.1018
47	2	8	Low	1	532.1772
48	2	8	Low	0	365.6362
49	2	8	High	0	448.9067
50	2	8	High	0	299.0198
51	2	8	Low	1	682.064
52	2	8	Low	1	365.6362
53	2	8	High	1	482.2149
54	2	8	High	0	315.6739
55	2	8	High	1	482.2149
56	2	8	High	1	515.5231
57	2	8	High	1	498.869
58	2	8	Low	0	665.4099
59	2	8	High	0	532.1772
60	2	8	Low	1	382.2903
61	2	8	Low	0	698.7181
62	2	8	Low	0	332.328
63	2	8	Low	0	299.0198
64	2	8	High	1	615.4477
65	2	8	High	0	715.3722
66	2	8	High	1	532.1772
67	2	8	Low	1	315.6739
68	2	8	High	1	282.3657
69	2	8	High	1	265.7116
70	2	8	High	1	315.6739
