TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
1	1	7	n/a	0	NaN
2	1	7	High	1	665.2875
3	1	7	High	1	482.1059
4	1	7	High	0	515.4116
5	1	7	Low	1	515.4116
6	1	7	High	1	498.7587
7	1	7	Low	0	981.6921
8	1	7	Low	1	532.0645
9	1	7	High	0	498.7587
10	1	7	High	1	548.7174
11	1	7	High	1	532.0645
12	1	7	High	1	432.1472
13	1	7	Low	1	398.8415
14	1	7	Low	0	348.8829
15	1	7	High	1	631.9817
16	1	7	Low	1	515.4116
17	1	7	Low	1	598.676
18	1	7	Low	1	865.122
19	1	7	High	1	731.899
20	1	7	High	0	532.0645
21	1	7	Low	1	398.8415
22	1	7	High	1	365.5357
23	1	7	Low	1	282.2714
24	1	7	Low	0	365.5357
25	1	7	Low	1	315.5771
26	1	7	Low	1	248.9656
27	1	7	High	1	332.23
28	1	7	High	1	515.4116
29	1	7	High	1	465.453
30	1	7	High	1	298.9242
31	1	7	Low	1	548.7174
32	1	7	Low	1	448.8001
33	1	7	Low	1	648.6346
34	1	7	Low	1	465.453
35	1	7	Low	1	348.8829
36	1	7	High	1	298.9242
37	1	7	Low	1	265.6185
38	1	7	Low	0	298.9242
39	1	7	Low	0	415.4944
40	1	7	High	1	448.8001
41	2	8	Low	1	398.8415
42	2	8	Low	1	515.4116
43	2	8	Low	0	465.453
44	2	8	High	1	465.453
45	2	8	High	0	631.9817
46	2	8	High	1	348.8829
47	2	8	Low	1	298.9242
48	2	8	Low	0	348.8829
49	2	8	High	1	298.9242
50	2	8	High	1	332.23
51	2	8	High	1	348.8829
52	2	8	Low	0	332.23
53	2	8	Low	1	398.8415
54	2	8	Low	0	332.23
55	2	8	Low	0	415.4944
56	2	8	Low	0	348.8829
57	2	8	High	1	465.453
58	2	8	Low	1	465.453
59	2	8	Low	0	298.9242
60	2	8	Low	0	348.8829
61	2	8	High	1	465.453
62	2	8	High	1	398.8415
63	2	8	High	1	348.8829
64	2	8	High	1	365.5357
65	2	8	High	1	465.453
66	2	8	High	1	781.8576
67	2	8	High	0	582.0231
68	2	8	Low	0	615.3289
69	2	8	High	1	332.23
70	2	8	Low	0	298.9242
71	2	8	High	1	515.4116
72	2	8	Low	0	365.5357
73	2	8	Low	1	348.8829
74	2	8	High	1	315.5771
75	2	8	High	1	365.5357
76	2	8	High	0	348.8829
77	2	8	Low	0	365.5357
78	2	8	Low	0	315.5771
79	2	8	Low	1	365.5357
80	2	8	Low	0	382.1886
81	3	1	High	1	465.453
82	3	1	Low	1	348.8829
83	3	1	Low	1	298.9242
84	3	1	High	1	365.5357
85	3	1	High	1	265.6185
86	3	1	Low	1	348.8829
87	3	1	High	0	365.5357
88	3	1	Low	1	332.23
89	3	1	Low	1	298.9242
90	3	1	High	0	248.9656
91	3	1	High	1	348.8829
92	3	1	High	0	765.2047
93	3	1	High	1	382.1886
94	3	1	High	1	448.8001
95	3	1	Low	0	415.4944
96	3	1	Low	0	365.5357
97	3	1	High	1	432.1472
98	3	1	High	1	398.8415
99	3	1	High	1	398.8415
100	3	1	High	1	565.3702
101	3	1	High	1	565.3702
102	3	1	High	1	482.1059
103	3	1	High	0	432.1472
104	3	1	Low	0	482.1059
105	3	1	High	1	515.4116
106	3	1	High	1	398.8415
107	3	1	High	1	415.4944
108	3	1	High	1	448.8001
109	3	1	High	0	448.8001
110	3	1	Low	0	398.8415
111	3	1	High	1	715.2461
112	3	1	High	1	382.1886
113	3	1	High	1	415.4944
114	3	1	High	1	382.1886
115	3	1	High	1	382.1886
116	3	1	High	1	315.5771
117	3	1	High	1	498.7587
118	3	1	High	0	532.0645
119	3	1	High	0	482.1059
120	3	1	Low	1	715.2461
121	4	2	Low	0	1447.9726
122	4	2	High	1	631.9817
123	4	2	High	0	498.7587
124	4	2	n/a	0	NaN
124	4	2	n/a	0	NaN
125	4	2	Low	0	465.453
126	4	2	High	1	348.8829
127	4	2	High	1	332.23
128	4	2	Low	0	515.4116
129	4	2	High	0	465.453
130	4	2	High	1	548.7174
131	4	2	High	1	565.3702
132	4	2	High	1	615.3289
133	4	2	High	0	515.4116
134	4	2	Low	0	582.0231
135	4	2	High	1	615.3289
136	4	2	High	0	465.453
137	4	2	Low	0	465.453
138	4	2	High	1	532.0645
139	4	2	High	1	448.8001
140	4	2	High	1	382.1886
141	4	2	High	1	515.4116
142	4	2	High	1	598.676
143	4	2	High	1	448.8001
144	4	2	High	1	548.7174
145	4	2	High	1	482.1059
146	4	2	High	0	565.3702
147	4	2	High	1	448.8001
148	4	2	High	1	465.453
149	4	2	High	1	482.1059
150	4	2	High	0	398.8415
151	4	2	High	0	665.2875
152	4	2	Low	0	482.1059
153	4	2	High	1	631.9817
154	4	2	High	1	498.7587
155	4	2	High	1	565.3702
156	4	2	High	0	465.453
157	4	2	High	1	432.1472
158	4	2	High	1	548.7174
159	4	2	High	1	448.8001
160	4	2	High	1	415.4944
1	5	3	n/a	0	NaN
1	5	3	n/a	0	NaN
2	5	3	High	1	382.1447
3	5	3	High	0	465.4065
4	5	3	Low	0	298.883
5	5	3	High	1	482.0588
6	5	3	High	1	398.7971
7	5	3	High	1	482.0588
8	5	3	High	0	465.4065
9	5	3	High	1	382.1447
10	5	3	High	1	365.4924
11	5	3	High	1	1014.9339
12	5	3	High	1	548.6682
13	5	3	High	0	498.7112
14	5	3	High	1	532.0159
15	5	3	High	1	515.3635
16	5	3	High	1	498.7112
17	5	3	High	1	348.84
18	5	3	High	1	432.1018
19	5	3	High	0	415.4494
20	5	3	High	1	465.4065
21	5	3	High	1	1298.0238
22	5	3	High	1	798.4534
23	5	3	High	1	448.7541
24	5	3	High	0	532.0159
25	5	3	High	1	415.4494
26	5	3	High	1	432.1018
27	5	3	High	1	498.7112
28	5	3	High	1	415.4494
29	5	3	High	1	382.1447
30	5	3	High	1	565.3206
31	5	3	High	1	382.1447
32	5	3	High	1	348.84
