TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	2	n/a	0	NaN
2	1	2	n/a	0	NaN
3	1	2	High	1	366.6091
4	1	2	n/a	0	NaN
5	1	2	n/a	0	NaN
6	1	2	n/a	0	NaN
7	1	2	High	1	933.2519
8	1	2	n/a	0	NaN
9	1	2	n/a	0	NaN
10	1	2	n/a	0	NaN
11	1	2	High	0	699.9284
12	1	2	n/a	0	NaN
13	1	2	High	1	1099.9116
14	1	2	n/a	0	NaN
15	1	2	High	1	1033.2477
16	1	2	n/a	0	NaN
17	1	2	High	0	1316.5691
18	1	2	High	1	933.2519
19	1	2	High	1	833.2562
20	1	2	High	0	816.5902
21	1	2	High	1	866.5881
22	1	2	High	1	983.2498
23	1	2	High	1	816.5902
24	1	2	High	0	733.2604
25	1	2	High	1	766.5923
26	1	2	Low	0	333.2772
27	1	2	High	1	983.2498
28	1	2	High	1	816.5902
29	1	2	High	1	933.2519
30	1	2	High	1	733.2604
31	1	2	High	1	366.6091
32	1	2	High	1	383.2751
33	1	2	High	0	383.2751
34	1	2	High	1	366.6091
35	1	2	High	1	383.2751
36	1	2	High	1	399.9411
37	1	2	High	1	433.273
38	1	2	High	1	366.6091
39	1	2	High	1	383.2751
40	1	2	High	1	383.2751
41	2	3	Low	0	1083.2456
42	2	3	Low	0	466.6049
43	2	3	High	1	449.939
44	2	3	High	1	399.9411
45	2	3	High	1	349.9432
46	2	3	High	1	433.273
47	2	3	High	0	399.9411
48	2	3	High	0	466.6049
49	2	3	High	1	399.9411
50	2	3	High	1	499.9369
51	2	3	High	0	299.9453
52	2	3	High	1	599.9326
53	2	3	High	1	399.9411
54	2	3	High	1	549.9347
55	2	3	High	0	433.273
56	2	3	High	1	416.607
57	2	3	High	1	683.2625
58	2	3	High	0	483.2709
59	2	3	Low	0	533.2688
60	2	3	Low	0	683.2625
61	2	3	High	1	633.2646
62	2	3	High	1	616.5986
63	2	3	High	1	383.2751
64	2	3	High	1	483.2709
65	2	3	High	1	433.273
66	2	3	High	1	366.6091
67	2	3	High	1	399.9411
68	2	3	High	1	383.2751
69	2	3	High	1	366.6091
70	2	3	High	1	383.2751
71	2	3	High	1	399.9411
72	2	3	High	1	399.9411
73	2	3	High	1	383.2751
74	2	3	High	1	416.607
75	2	3	High	1	366.6091
76	2	3	High	1	399.9411
77	2	3	High	1	383.2751
78	2	3	High	1	349.9432
79	2	3	High	1	333.2772
80	2	3	High	0	333.2772
81	3	4	High	1	1199.9074
82	3	4	High	1	399.9411
83	3	4	High	1	366.6091
84	3	4	High	0	316.6112
85	3	4	High	1	1049.9137
86	3	4	High	1	383.2751
87	3	4	High	1	349.9432
88	3	4	High	1	433.273
89	3	4	High	1	383.2751
90	3	4	Low	0	799.9242
91	3	4	High	1	549.9347
92	3	4	High	0	416.607
93	3	4	Low	1	633.2646
94	3	4	High	0	1133.2435
95	3	4	Low	0	466.6049
96	3	4	Low	1	716.5944
97	3	4	Low	1	366.6091
98	3	4	High	1	683.2625
99	3	4	High	1	599.9326
100	3	4	High	1	483.2709
101	3	4	Low	1	283.2793
102	3	4	Low	1	433.273
103	3	4	High	1	299.9453
104	3	4	High	1	433.273
105	3	4	High	0	316.6112
106	3	4	Low	0	283.2793
107	3	4	High	0	16.6239
108	3	4	High	1	499.9369
109	3	4	Low	1	466.6049
110	3	4	High	1	316.6112
111	3	4	High	0	16.6239
112	3	4	Low	0	616.5986
113	3	4	Low	0	449.939
114	3	4	Low	0	233.2814
115	3	4	High	1	249.9474
116	3	4	Low	1	349.9432
117	3	4	High	0	299.9453
118	3	4	High	1	266.6133
119	3	4	Low	1	383.2751
120	3	4	High	0	299.9453
121	4	5	Low	1	933.2519
122	4	5	Low	0	399.9411
123	4	5	High	1	416.607
124	4	5	High	1	416.607
125	4	5	High	1	449.939
126	4	5	High	0	433.273
127	4	5	High	1	416.607
128	4	5	High	1	433.273
129	4	5	Low	0	416.607
130	4	5	Low	0	883.254
131	4	5	Low	0	616.5986
132	4	5	High	1	499.9369
133	4	5	Low	1	633.2646
134	4	5	Low	1	466.6049
135	4	5	High	1	349.9432
136	4	5	Low	0	383.2751
137	4	5	Low	1	316.6112
138	4	5	High	1	316.6112
139	4	5	Low	0	349.9432
140	4	5	Low	0	366.6091
141	4	5	Low	0	733.2604
142	4	5	Low	1	883.254
143	4	5	High	0	349.9432
144	4	5	High	1	349.9432
145	4	5	Low	1	349.9432
146	4	5	Low	1	666.5965
147	4	5	Low	1	483.2709
148	4	5	Low	1	449.939
149	4	5	Low	1	566.6007
150	4	5	High	0	466.6049
151	4	5	Low	1	1166.5755
152	4	5	Low	1	433.273
153	4	5	Low	1	316.6112
154	4	5	Low	1	349.9432
155	4	5	High	1	299.9453
156	4	5	Low	1	316.6112
157	4	5	High	1	299.9453
158	4	5	Low	0	299.9453
159	4	5	Low	0	266.6133
160	4	5	High	1	133.2856
161	5	6	n/a	0	NaN
162	5	6	High	1	766.4717
163	5	6	Low	1	449.84
164	5	6	High	1	366.5158
165	5	6	Low	1	316.5214
166	5	6	Low	0	316.5214
167	5	6	High	1	266.5269
168	5	6	Low	0	249.862
169	5	6	Low	0	316.5214
170	5	6	High	1	283.1917
171	5	6	High	0	299.8565
172	5	6	High	1	283.1917
173	5	6	Low	1	316.5214
174	5	6	High	1	349.851
175	5	6	High	0	316.5214
176	5	6	Low	1	266.5269
177	5	6	High	0	199.8676
178	5	6	High	1	16.5545
179	5	6	Low	1	283.1917
180	5	6	High	1	266.5269
181	5	6	High	1	283.1917
182	5	6	Low	1	116.5434
183	5	6	Low	1	449.84
184	5	6	Low	1	699.8124
185	5	6	High	0	399.8455
186	5	6	High	1	366.5158
187	5	6	High	1	266.5269
188	5	6	High	1	349.851
189	5	6	High	1	299.8565
190	5	6	Low	0	266.5269
191	5	6	High	1	283.1917
192	5	6	Low	0	283.1917
193	5	6	Low	0	299.8565
194	5	6	Low	0	549.8289
195	5	6	High	1	466.5048
196	5	6	Low	1	566.4938
197	5	6	Low	0	799.8013
198	5	6	High	1	699.8124
199	5	6	High	1	1349.7406
200	5	6	Low	0	616.4882
201	6	7	High	1	399.8455
202	6	7	n/a	0	NaN
203	6	7	n/a	0	NaN
204	6	7	Low	0	516.4993
205	6	7	High	0	333.1862
206	6	7	High	1	383.1807
207	6	7	Low	1	466.5048
208	6	7	Low	1	333.1862
209	6	7	High	1	333.1862
210	6	7	High	1	233.1972
211	6	7	High	1	349.851
212	6	7	High	1	349.851
213	6	7	Low	0	349.851
214	6	7	High	1	333.1862
215	6	7	High	1	516.4993
216	6	7	High	1	566.4938
217	6	7	High	0	316.5214
218	6	7	High	1	433.1751
219	6	7	Low	0	399.8455
220	6	7	High	0	283.1917
221	6	7	High	0	416.5103
222	6	7	n/a	0	NaN
223	6	7	High	1	583.1586
224	6	7	High	1	883.1255
225	6	7	High	1	816.4662
226	6	7	High	0	849.7958
227	6	7	High	0	516.4993
228	6	7	High	0	816.4662
229	6	7	Low	1	899.7903
230	6	7	Low	0	733.142
231	6	7	Low	1	499.8345
232	6	7	Low	0	383.1807
233	6	7	High	0	566.4938
234	6	7	Low	0	349.851
235	6	7	Low	0	299.8565
236	6	7	High	1	283.1917
237	6	7	Low	0	316.5214
238	6	7	Low	1	266.5269
239	6	7	High	1	249.862
240	6	7	Low	0	483.1696
241	7	8	High	0	249.862
242	7	8	Low	0	383.1807
243	7	8	High	1	283.1917
244	7	8	Low	0	533.1641
245	7	8	High	0	266.5269
246	7	8	Low	1	416.5103
247	7	8	High	1	399.8455
248	7	8	High	1	416.5103
249	7	8	High	1	349.851
250	7	8	Low	0	383.1807
251	7	8	Low	1	316.5214
252	7	8	Low	1	283.1917
253	7	8	Low	1	366.5158
254	7	8	Low	0	16.5545
255	7	8	Low	0	249.862
256	7	8	High	1	249.862
257	7	8	High	1	16.5545
258	7	8	High	0	549.8289
259	7	8	Low	0	16.5545
260	7	8	Low	1	333.1862
261	7	8	Low	1	833.131
262	7	8	High	1	383.1807
263	7	8	High	1	316.5214
264	7	8	High	0	399.8455
265	7	8	Low	0	283.1917
266	7	8	High	1	366.5158
267	7	8	Low	0	416.5103
268	7	8	Low	1	399.8455
269	7	8	High	0	349.851
270	7	8	Low	0	299.8565
271	7	8	High	1	383.1807
272	7	8	Low	1	499.8345
273	7	8	High	1	433.1751
274	7	8	High	1	399.8455
275	7	8	n/a	0	NaN
276	7	8	High	1	366.5158
277	7	8	High	1	349.851
278	7	8	Low	1	299.8565
279	7	8	Low	1	483.1696
280	7	8	Low	1	333.1862
281	8	1	Low	0	883.1255
282	8	1	High	0	733.142
283	8	1	Low	0	399.8455
284	8	1	High	0	316.5214
285	8	1	Low	0	249.862
286	8	1	Low	1	283.1917
287	8	1	High	1	299.8565
288	8	1	High	1	599.8234
289	8	1	Low	1	299.8565
290	8	1	High	0	399.8455
291	8	1	High	1	383.1807
292	8	1	n/a	0	NaN
293	8	1	Low	0	383.1807
294	8	1	High	1	583.1586
295	8	1	High	1	699.8124
296	8	1	Low	1	633.1531
297	8	1	n/a	0	NaN
298	8	1	High	1	683.1476
299	8	1	High	0	733.142
300	8	1	n/a	0	NaN
301	8	1	Low	0	599.8234
302	8	1	Low	0	433.1751
303	8	1	Low	0	616.4882
304	8	1	High	0	466.5048
305	8	1	Low	1	433.1751
306	8	1	Low	1	583.1586
307	8	1	High	1	583.1586
308	8	1	Low	0	466.5048
309	8	1	Low	0	316.5214
310	8	1	High	1	299.8565
311	8	1	High	1	199.8676
312	8	1	Low	0	433.1751
313	8	1	Low	1	516.4993
314	8	1	High	1	499.8345
315	8	1	Low	0	433.1751
316	8	1	Low	0	699.8124
317	8	1	High	1	416.5103
318	8	1	High	1	299.8565
319	8	1	Low	1	416.5103
320	8	1	Low	1	433.1751
