TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	4	n/a	0	NaN
2	1	4	n/a	0	NaN
3	1	4	High	1	1015.9306
4	1	4	Low	0	432.8102
5	1	4	High	1	766.0218
6	1	4	n/a	0	NaN
7	1	4	High	1	799.343
8	1	4	Low	0	349.5073
9	1	4	High	1	366.1678
10	1	4	Low	0	549.4343
11	1	4	Low	0	499.4525
12	1	4	High	1	849.3248
13	1	4	High	0	1199.197
14	1	4	High	1	399.489
15	1	4	High	1	965.9488
16	1	4	High	1	499.4525
17	1	4	High	0	199.562
18	1	4	Low	0	332.8467
19	1	4	Low	0	316.1861
20	1	4	High	1	699.3795
21	1	4	Low	1	132.9197
22	1	4	High	1	216.2226
23	1	4	Low	1	316.1861
24	1	4	High	1	416.1496
25	1	4	Low	0	332.8467
26	1	4	Low	0	566.0948
27	1	4	n/a	0	NaN
28	1	4	Low	1	865.9853
29	1	4	Low	0	366.1678
30	1	4	Low	1	466.1313
31	1	4	High	0	432.8102
32	1	4	High	0	349.5073
33	1	4	High	1	299.5255
34	1	4	High	0	316.1861
35	1	4	High	1	549.4343
36	1	4	High	0	366.1678
37	1	4	High	0	332.8467
38	1	4	High	1	982.6094
39	1	4	High	1	416.1496
40	1	4	High	1	449.4708
41	2	5	n/a	0	NaN
42	2	5	Low	1	366.1678
43	2	5	Low	1	399.489
44	2	5	Low	0	482.7919
45	2	5	Low	1	682.7189
46	2	5	Low	1	416.1496
47	2	5	Low	1	366.1678
48	2	5	Low	1	849.3248
49	2	5	High	1	399.489
50	2	5	High	1	832.6642
51	2	5	Low	0	882.6459
52	2	5	Low	0	915.9671
53	2	5	Low	0	599.416
54	2	5	High	1	432.8102
55	2	5	Low	0	566.0948
56	2	5	Low	0	949.2883
57	2	5	Low	1	999.27
58	2	5	Low	0	482.7919
59	2	5	High	1	749.3613
60	2	5	High	1	899.3065
61	2	5	High	1	649.3978
62	2	5	Low	0	649.3978
63	2	5	Low	1	699.3795
64	2	5	Low	0	799.343
65	2	5	High	1	699.3795
66	2	5	High	0	649.3978
67	2	5	Low	1	1215.8576
68	2	5	Low	0	449.4708
69	2	5	Low	1	782.6824
70	2	5	High	0	915.9671
71	2	5	n/a	0	NaN
72	2	5	Low	1	499.4525
73	2	5	Low	1	716.0401
74	2	5	High	0	766.0218
75	2	5	Low	0	649.3978
76	2	5	Low	0	1265.8393
77	2	5	Low	1	382.8284
78	2	5	Low	1	366.1678
79	2	5	High	1	282.8649
80	2	5	Low	1	816.0036
81	3	6	High	1	1332.4817
82	3	6	High	0	449.4708
83	3	6	High	1	299.5255
84	3	6	High	0	932.6277
85	3	6	Low	1	416.1496
