TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	8	n/a	0	NaN
2	1	8	n/a	0	NaN
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	8	n/a	0	NaN
2	1	8	n/a	0	NaN
3	1	8	n/a	0	NaN
4	1	8	High	1	648.6908
5	1	8	Low	1	532.1167
6	1	8	Low	0	199.0479
7	1	8	Low	0	99.1272
8	1	8	Low	1	265.6616
9	1	8	Low	1	498.8098
10	1	8	Low	0	698.6511
11	1	8	Low	1	365.5823
12	1	8	Low	0	115.7806
13	1	8	High	0	498.8098
14	1	8	High	1	781.9183
15	1	8	High	1	448.8495
16	1	8	Low	1	532.1167
17	1	8	High	1	298.9685
18	1	8	High	1	265.6616
19	1	8	High	1	415.5426
20	1	8	High	1	282.3151
21	1	8	High	1	615.3839
22	1	8	High	1	532.1167
23	1	8	Low	0	382.2357
24	1	8	High	1	432.1961
25	1	8	Low	1	432.1961
26	1	8	Low	0	415.5426
27	1	8	High	1	298.9685
28	1	8	High	1	15.86
29	1	8	High	1	548.7702
30	1	8	High	1	465.5029
31	1	8	High	1	498.8098
32	1	8	Low	0	348.9288
33	1	8	High	1	415.5426
34	1	8	Low	0	298.9685
35	1	8	High	1	348.9288
36	1	8	Low	0	398.8892
37	1	8	Low	0	315.622
38	1	8	Low	0	282.3151
39	1	8	Low	0	432.1961
40	1	8	High	1	332.2754
41	2	1	High	1	1214.9079
42	2	1	High	1	415.5426
43	2	1	Low	1	482.1564
44	2	1	High	1	315.622
45	2	1	Low	1	298.9685
46	2	1	Low	0	398.8892
47	2	1	High	0	415.5426
48	2	1	High	1	365.5823
49	2	1	High	1	465.5029
50	2	1	High	0	82.4738
51	2	1	Low	1	582.077
52	2	1	Low	0	432.1961
53	2	1	Low	0	398.8892
54	2	1	Low	0	332.2754
55	2	1	High	1	482.1564
56	2	1	Low	0	532.1167
57	2	1	High	1	382.2357
58	2	1	High	1	448.8495
59	2	1	High	1	332.2754
60	2	1	High	1	731.958
61	2	1	High	1	432.1961
62	2	1	High	0	515.4633
63	2	1	Low	0	332.2754
64	2	1	High	1	448.8495
65	2	1	High	0	315.622
66	2	1	High	1	565.4236
67	2	1	High	1	582.077
68	2	1	Low	0	632.0374
69	2	1	High	1	348.9288
70	2	1	Low	0	498.8098
71	2	1	High	0	615.3839
72	2	1	Low	0	465.5029
73	2	1	High	1	865.1856
74	2	1	Low	0	632.0374
75	2	1	High	0	1181.601
76	2	1	High	1	515.4633
77	2	1	Low	0	348.9288
78	2	1	High	1	465.5029
79	2	1	n/a	0	NaN
80	2	1	High	1	798.5718
81	3	2	Low	1	1231.5613
82	3	2	High	0	1398.0957
83	3	2	Low	0	432.1961
84	3	2	Low	1	332.2754
85	3	2	Low	0	632.0374
86	3	2	High	1	465.5029
87	3	2	High	1	532.1167
88	3	2	High	1	482.1564
89	3	2	High	1	348.9288
90	3	2	High	1	548.7702
91	3	2	High	0	615.3839
92	3	2	Low	0	515.4633
93	3	2	High	1	465.5029
94	3	2	High	0	432.1961
95	3	2	Low	0	765.2649
96	3	2	High	0	348.9288
97	3	2	High	1	865.1856
98	3	2	High	1	432.1961
99	3	2	High	1	715.3046
100	3	2	Low	0	415.5426
101	3	2	Low	1	681.9977
102	3	2	High	1	498.8098
103	3	2	Low	1	332.2754
104	3	2	Low	0	332.2754
105	3	2	High	0	382.2357
106	3	2	High	1	781.9183
107	3	2	High	1	465.5029
108	3	2	Low	1	332.2754
109	3	2	Low	0	298.9685
110	3	2	Low	1	498.8098
111	3	2	Low	0	465.5029
112	3	2	High	1	698.6511
113	3	2	High	1	615.3839
114	3	2	Low	1	415.5426
115	3	2	Low	1	365.5823
116	3	2	High	1	315.622
117	3	2	High	0	332.2754
118	3	2	High	0	465.5029
119	3	2	High	1	1298.1751
120	3	2	High	1	532.1167
121	4	3	n/a	0	NaN
122	4	3	Low	0	632.0374
123	4	3	Low	1	348.9288
124	4	3	Low	0	282.3151
125	4	3	Low	1	298.9685
126	4	3	High	1	432.1961
127	4	3	Low	0	332.2754
128	4	3	Low	0	315.622
129	4	3	High	1	365.5823
130	4	3	Low	0	382.2357
131	4	3	High	1	931.7993
132	4	3	High	1	1098.3338
133	4	3	Low	0	382.2357
134	4	3	High	1	665.3443
135	4	3	High	1	415.5426
136	4	3	High	1	565.4236
137	4	3	High	1	432.1961
138	4	3	High	0	448.8495
139	4	3	Low	0	498.8098
140	4	3	High	1	365.5823
141	4	3	High	1	815.2252
142	4	3	High	0	565.4236
143	4	3	Low	1	332.2754
144	4	3	High	0	365.5823
145	4	3	Low	1	382.2357
146	4	3	High	1	348.9288
147	4	3	Low	0	282.3151
148	4	3	High	1	565.4236
149	4	3	High	1	348.9288
150	4	3	High	0	298.9685
151	4	3	Low	1	1181.601
152	4	3	High	1	515.4633
153	4	3	High	1	348.9288
154	4	3	High	0	382.2357
155	4	3	High	1	398.8892
156	4	3	Low	1	465.5029
157	4	3	Low	0	282.3151
158	4	3	Low	1	382.2357
159	4	3	Low	0	348.9288
160	4	3	Low	0	382.2357
161	5	4	n/a	0	NaN
162	5	4	High	1	515.321
163	5	4	Low	1	1414.5225
164	5	4	High	1	465.3654
165	5	4	High	0	315.4985
166	5	4	High	1	465.3654
167	5	4	High	1	382.106
168	5	4	High	1	132.3278
169	5	4	Low	1	382.106
170	5	4	High	1	781.7511
