TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	4	n/a	0	NaN
2	1	4	Low	0	432.907
3	1	4	High	1	766.1412
4	1	4	High	1	599.5241
5	1	4	High	1	516.2156
6	1	4	High	1	682.8327
7	1	4	High	1	566.2007
8	1	4	High	1	482.8922
9	1	4	High	1	499.5539
10	1	4	High	1	482.8922
11	1	4	High	1	482.8922
12	1	4	High	1	466.2305
13	1	4	High	0	566.2007
14	1	4	High	1	516.2156
15	1	4	High	1	466.2305
16	1	4	High	1	549.539
17	1	4	High	1	499.5539
18	1	4	High	0	482.8922
19	1	4	High	0	632.8476
20	1	4	Low	1	449.5687
21	1	4	Low	1	416.2453
22	1	4	Low	1	582.8624
23	1	4	Low	1	382.9219
24	1	4	Low	1	466.2305
25	1	4	Low	1	549.539
26	1	4	Low	0	482.8922
27	1	4	High	1	499.5539
28	1	4	High	1	716.1561
29	1	4	High	1	616.1858
30	1	4	High	1	516.2156
31	1	4	High	0	599.5241
32	1	4	Low	0	499.5539
33	1	4	Low	1	882.7732
34	1	4	Low	0	466.2305
35	1	4	High	1	432.907
36	1	4	High	1	432.907
37	1	4	High	0	432.907
38	1	4	Low	1	416.2453
39	1	4	Low	0	582.8624
40	1	4	High	1	482.8922
41	2	5	Low	1	1365.9628
42	2	5	Low	1	699.4944
43	2	5	Low	0	532.8773
44	2	5	High	0	466.2305
45	2	5	Low	0	466.2305
46	2	5	High	1	682.8327
47	2	5	High	0	466.2305
48	2	5	Low	0	482.8922
49	2	5	Low	1	899.4349
50	2	5	High	1	416.2453
51	2	5	Low	0	532.8773
52	2	5	Low	0	1099.3754
53	2	5	High	1	816.1264
54	2	5	Low	0	566.2007
55	2	5	Low	0	332.9368
56	2	5	High	1	549.539
57	2	5	Low	1	816.1264
58	2	5	High	1	832.7881
59	2	5	Low	1	466.2305
60	2	5	High	1	566.2007
61	2	5	n/a	0	NaN
62	2	5	Low	1	666.171
63	2	5	Low	1	532.8773
64	2	5	Low	0	466.2305
65	2	5	High	1	566.2007
66	2	5	High	1	399.5836
67	2	5	High	1	499.5539
68	2	5	High	1	432.907
69	2	5	High	1	449.5687
70	2	5	High	1	432.907
71	2	5	Low	0	499.5539
72	2	5	High	1	649.5093
73	2	5	High	1	566.2007
74	2	5	High	1	599.5241
75	2	5	High	1	599.5241
76	2	5	High	1	516.2156
77	2	5	High	1	416.2453
78	2	5	High	1	382.9219
79	2	5	High	0	466.2305
80	2	5	Low	1	399.5836
81	3	6	Low	1	1132.6988
82	3	6	Low	1	549.539
83	3	6	Low	0	416.2453
84	3	6	High	1	599.5241
85	3	6	High	1	566.2007
86	3	6	High	1	499.5539
87	3	6	Low	0	782.8029
88	3	6	High	0	549.539
89	3	6	Low	1	532.8773
90	3	6	Low	0	566.2007
91	3	6	High	1	616.1858
92	3	6	High	1	399.5836
93	3	6	High	1	432.907
94	3	6	High	1	399.5836
95	3	6	High	0	599.5241
96	3	6	Low	1	466.2305
97	3	6	Low	1	549.539
98	3	6	Low	0	549.539
99	3	6	High	0	466.2305
100	3	6	Low	1	499.5539
101	3	6	Low	1	1066.052
