TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	6	n/a	0	NaN
2	1	6	n/a	0	NaN
3	1	6	n/a	0	NaN
4	1	6	n/a	0	NaN
5	1	6	Low	0	1182.6631
6	1	6	n/a	0	NaN
7	1	6	High	0	1199.3247
8	1	6	n/a	0	NaN
9	1	6	Low	1	1482.571
10	1	6	n/a	0	NaN
11	1	6	High	1	1265.9709
12	1	6	High	0	749.4628
13	1	6	High	1	432.8933
14	1	6	High	1	682.8166
15	1	6	High	1	316.2625
16	1	6	Low	0	299.6009
17	1	6	High	0	549.5242
18	1	6	High	1	299.6009
19	1	6	Low	1	332.924
20	1	6	Low	0	249.6163
21	1	6	High	1	382.9087
22	1	6	Low	1	699.4781
23	1	6	Low	1	499.5395
24	1	6	Low	0	582.8473
25	1	6	Low	0	899.4168
26	1	6	Low	1	432.8933
27	1	6	Low	1	366.2471
28	1	6	Low	1	632.8319
29	1	6	Low	1	499.5395
30	1	6	High	1	332.924
31	1	6	Low	0	432.8933
32	1	6	High	1	416.2318
33	1	6	High	0	399.5702
34	1	6	Low	1	382.9087
35	1	6	Low	1	382.9087
36	1	6	High	1	516.2011
37	1	6	n/a	0	NaN
38	1	6	High	0	732.8012
39	1	6	Low	0	499.5395
40	1	6	High	1	366.2471
41	2	7	Low	0	349.5856
42	2	7	High	1	649.4935
43	2	7	High	0	566.1857
44	2	7	Low	1	716.1397
45	2	7	High	1	1099.3554
46	2	7	High	1	399.5702
47	2	7	High	1	282.9394
48	2	7	High	0	266.2778
49	2	7	Low	1	466.2164
50	2	7	Low	0	282.9394
51	2	7	High	1	716.1397
52	2	7	Low	1	449.5549
53	2	7	Low	0	532.8626
54	2	7	Low	1	482.878
55	2	7	High	0	349.5856
56	2	7	Low	0	349.5856
57	2	7	Low	0	366.2471
58	2	7	High	1	149.647
59	2	7	High	0	632.8319
60	2	7	High	1	266.2778
61	2	7	Low	0	499.5395
62	2	7	High	1	682.8166
63	2	7	Low	0	382.9087
