TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	5	n/a	0	NaN
1	1	5	n/a	0	NaN
2	1	5	n/a	0	NaN
2	1	5	n/a	0	NaN
3	1	5	n/a	0	NaN
3	1	5	n/a	0	NaN
4	1	5	n/a	0	NaN
4	1	5	n/a	0	NaN
5	1	5	n/a	0	NaN
5	1	5	n/a	0	NaN
6	1	5	High	1	815.1617
7	1	5	Low	0	1248.1361
8	1	5	Low	1	915.0789
9	1	5	Low	1	865.1203
10	1	5	Low	0	382.1874
11	1	5	Low	1	548.716
12	1	5	High	1	582.0217
13	1	5	Low	0	765.2031
14	1	5	Low	0	332.2288
15	1	5	Low	1	232.3116
16	1	5	High	0	582.0217
17	1	5	Low	1	565.3688
18	1	5	Low	0	681.9388
19	1	5	High	1	482.1045
20	1	5	High	1	948.3846
21	1	5	Low	0	831.8146
22	1	5	Low	0	981.6903
23	1	5	High	0	448.7988
24	1	5	Low	1	1081.6075
25	1	5	Low	1	648.6331
26	1	5	Low	1	681.9388
27	1	5	Low	0	398.8402
28	1	5	High	1	998.3432
29	1	5	Low	1	1298.0947
30	1	5	High	1	798.5089
31	1	5	Low	0	998.3432
32	1	5	Low	1	915.0789
33	1	5	High	1	1081.6075
34	1	5	High	1	1098.2603
35	1	5	Low	0	1281.4418
36	1	5	High	1	665.286
37	1	5	High	0	1148.2189
38	1	5	High	0	715.2446
39	1	5	Low	0	648.6331
40	1	5	High	0	498.7574
41	2	6	Low	1	1264.7889
42	2	6	High	0	865.1203
43	2	6	Low	0	848.4674
44	2	6	High	0	348.8816
45	2	6	Low	1	848.4674
46	2	6	Low	1	1281.4418
47	2	6	High	1	731.8974
48	2	6	Low	1	898.426
49	2	6	High	1	1064.9546
50	2	6	High	0	1064.9546
51	2	6	Low	0	731.8974
52	2	6	High	1	548.716
53	2	6	n/a	0	NaN
53	2	6	n/a	0	NaN
54	2	6	High	1	898.426
55	2	6	High	0	981.6903
56	2	6	Low	0	415.4931
57	2	6	Low	0	315.5759
58	2	6	High	1	631.9803
59	2	6	Low	0	981.6903
60	2	6	Low	1	432.1459
61	2	6	Low	0	348.8816
62	2	6	Low	0	881.7732
63	2	6	Low	1	532.0631
64	2	6	High	0	565.3688
65	2	6	n/a	0	NaN
65	2	6	n/a	0	NaN
66	2	6	High	1	448.7988
67	2	6	Low	0	315.5759
68	2	6	High	0	798.5089
69	2	6	High	1	465.4517
70	2	6	Low	1	1048.3018
71	2	6	n/a	0	NaN
71	2	6	n/a	0	NaN
72	2	6	Low	1	948.3846
73	2	6	High	0	648.6331
74	2	6	High	0	398.8402
75	2	6	High	0	748.5503
76	2	6	High	1	648.6331
77	2	6	Low	1	1348.0532
78	2	6	Low	0	1231.4832
79	2	6	Low	1	748.5503
80	2	6	Low	0	998.3432
81	3	7	Low	0	731.8974
82	3	7	Low	0	532.0631
83	3	7	Low	1	348.8816
84	3	7	n/a	0	NaN
84	3	7	n/a	0	NaN
85	3	7	High	1	598.6745
86	3	7	Low	1	748.5503
87	3	7	High	1	1031.6489
88	3	7	Low	0	915.0789
89	3	7	Low	0	648.6331
90	3	7	Low	1	532.0631
91	3	7	n/a	0	NaN
91	3	7	n/a	0	NaN
92	3	7	Low	0	482.1045
93	3	7	Low	1	582.0217
94	3	7	High	1	1048.3018
95	3	7	High	1	1214.8304
96	3	7	Low	0	848.4674
97	3	7	High	1	981.6903
98	3	7	High	1	815.1617
99	3	7	Low	0	665.286
100	3	7	Low	0	348.8816
101	3	7	High	0	815.1617
102	3	7	High	0	631.9803
103	3	7	High	0	582.0217
