TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
1	1	2	High	585.1224
2	1	2	High	685.2354
3	1	2	High	1369.3409
4	1	2	High	651.8644
5	1	2	High	518.3804
6	1	2	High	535.0659
7	1	2	High	384.8965
8	1	2	Low	1135.7439
9	1	2	Low	434.953
10	1	2	High	1169.1149
11	1	2	High	935.5179
12	1	2	High	885.4614
13	1	2	High	551.7514
14	1	2	High	1569.5669
15	1	2	n/a	NaN
15	1	2	n/a	NaN
15	1	2	n/a	NaN
16	1	2	High	84.5575
17	1	2	Low	268.098
18	1	2	High	2287.0434
19	1	2	n/a	NaN
19	1	2	n/a	NaN
19	1	2	n/a	NaN
20	1	2	Low	1335.9699
21	1	2	n/a	NaN
21	1	2	n/a	NaN
21	1	2	n/a	NaN
22	1	2	n/a	NaN
22	1	2	n/a	NaN
22	1	2	n/a	NaN
23	1	2	High	2787.6084
24	1	2	n/a	NaN
24	1	2	n/a	NaN
24	1	2	n/a	NaN
25	1	2	High	1703.0509
26	1	2	Low	1102.3729
27	1	2	n/a	NaN
27	1	2	n/a	NaN
27	1	2	n/a	NaN
28	1	2	n/a	NaN
28	1	2	n/a	NaN
28	1	2	n/a	NaN
29	1	2	High	2871.0359
30	1	2	n/a	NaN
30	1	2	n/a	NaN
30	1	2	n/a	NaN
31	1	2	n/a	NaN
31	1	2	n/a	NaN
31	1	2	n/a	NaN
32	1	2	High	1753.1074
33	1	2	n/a	NaN
33	1	2	n/a	NaN
33	1	2	n/a	NaN
34	1	2	Low	2070.1319
35	1	2	n/a	NaN
35	1	2	n/a	NaN
35	1	2	n/a	NaN
36	1	2	High	1469.4539
37	1	2	Low	935.5179
38	1	2	High	1936.6479
39	1	2	n/a	NaN
39	1	2	n/a	NaN
39	1	2	n/a	NaN
40	1	2	n/a	NaN
40	1	2	n/a	NaN
40	1	2	n/a	NaN
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
1	1	7	Low	501.8417
2	1	7	Low	301.5961
3	1	7	Low	468.4674
4	1	7	High	351.6575
5	1	7	High	368.3446
6	1	7	High	334.9704
7	1	7	High	218.1605
8	1	7	High	835.5843
9	1	7	High	368.3446
10	1	7	Low	685.4001
11	1	7	High	451.7803
12	1	7	High	334.9704
13	1	7	High	268.2219
14	1	7	High	318.2832
15	1	7	High	351.6575
TrialNumber	BlockNumber	StimulationCondition	Choice	PlayerReactionTime
1	1	7	Low	335.221
2	1	7	Low	351.9113
3	1	7	Low	318.5308
4	1	7	High	435.3626
5	1	7	Low	518.8139
6	1	7	Low	385.2918
7	1	7	High	418.6723
8	1	7	Low	502.1237
9	1	7	Low	385.2918
10	1	7	n/a	NaN
10	1	7	n/a	NaN
10	1	7	n/a	NaN
11	1	7	High	368.6016
12	1	7	High	1353.3271
13	1	7	n/a	NaN
13	1	7	n/a	NaN
13	1	7	n/a	NaN
14	1	7	n/a	NaN
14	1	7	n/a	NaN
14	1	7	n/a	NaN
15	1	7	Low	2104.3889
16	1	7	n/a	NaN
16	1	7	n/a	NaN
16	1	7	n/a	NaN
17	1	7	n/a	NaN
17	1	7	n/a	NaN
17	1	7	n/a	NaN
18	1	7	n/a	NaN
18	1	7	n/a	NaN
18	1	7	n/a	NaN
19	1	7	n/a	NaN
19	1	7	n/a	NaN
19	1	7	n/a	NaN
20	1	7	Low	602.2652
21	1	7	n/a	NaN
21	1	7	n/a	NaN
21	1	7	n/a	NaN
22	1	7	Low	769.1679
23	1	7	High	285.1502
24	1	7	Low	435.3626
25	1	7	High	1019.5218
26	1	7	High	368.6016
27	1	7	n/a	NaN
27	1	7	n/a	NaN
27	1	7	n/a	NaN
28	1	7	High	1470.1589
29	1	7	Low	819.2386
30	1	7	Low	1520.2297
31	1	7	n/a	NaN
31	1	7	n/a	NaN
31	1	7	n/a	NaN
32	1	7	High	1620.3713
33	1	7	Low	1920.796
34	1	7	Low	2588.4065
35	1	7	n/a	NaN
35	1	7	n/a	NaN
35	1	7	n/a	NaN
36	1	7	n/a	NaN
36	1	7	n/a	NaN
36	1	7	n/a	NaN
37	1	7	n/a	NaN
37	1	7	n/a	NaN
37	1	7	n/a	NaN
