TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	7	n/a	0	NaN
2	1	7	n/a	0	NaN
3	1	7	High	1	715.9651
4	1	7	n/a	0	NaN
5	1	7	High	1	1465.6586
6	1	7	High	1	1032.5023
7	1	7	High	1	932.5432
8	1	7	High	1	849.2439
9	1	7	High	1	1049.1622
10	1	7	High	1	1082.4819
11	1	7	High	1	932.5432
12	1	7	High	1	949.2031
13	1	7	High	0	899.2235
14	1	7	High	1	899.2235
15	1	7	High	1	932.5432
16	1	7	High	1	982.5228
17	1	7	High	1	882.5636
18	1	7	High	1	949.2031
19	1	7	High	1	965.8629
20	1	7	High	1	982.5228
21	1	7	High	1	832.5841
22	1	7	High	1	1165.7812
23	1	7	High	1	749.2848
24	1	7	High	1	982.5228
25	1	7	High	0	832.5841
26	1	7	High	1	799.2644
27	1	7	High	1	949.2031
28	1	7	High	0	1265.7403
29	1	7	High	1	1015.8425
30	1	7	High	0	632.6658
31	1	7	High	0	982.5228
32	1	7	Low	0	665.9855
33	1	7	Low	0	432.7475
34	1	7	High	0	482.7271
35	1	7	High	1	432.7475
36	1	7	High	1	632.6658
37	1	7	High	1	682.6454
38	1	7	High	1	765.9446
39	1	7	High	1	549.3665
40	1	7	High	1	499.387
41	2	8	n/a	0	NaN
42	2	8	Low	0	282.8088
43	2	8	High	1	665.9855
44	2	8	High	1	382.768
45	2	8	High	1	499.387
46	2	8	High	0	332.7884
47	2	8	Low	1	1065.822
48	2	8	Low	0	682.6454
49	2	8	Low	1	416.0877
50	2	8	Low	1	316.1286
51	2	8	Low	1	399.4278
52	2	8	Low	1	266.149
53	2	8	High	1	399.4278
54	2	8	Low	0	382.768
55	2	8	Low	0	299.4687
56	2	8	High	0	582.6862
57	2	8	High	1	282.8088
58	2	8	Low	0	282.8088
59	2	8	Low	0	332.7884
60	2	8	Low	1	449.4074
61	2	8	High	1	582.6862
62	2	8	High	1	382.768
63	2	8	High	0	1065.822
64	2	8	High	1	316.1286
65	2	8	Low	0	299.4687
66	2	8	Low	0	316.1286
67	2	8	High	1	782.6045
68	2	8	High	1	416.0877
69	2	8	High	0	382.768
70	2	8	High	1	532.7067
71	2	8	High	1	582.6862
72	2	8	High	1	416.0877
73	2	8	High	1	366.1081
74	2	8	High	1	399.4278
75	2	8	High	1	332.7884
76	2	8	High	0	382.768
77	2	8	High	1	616.006
78	2	8	High	0	832.5841
79	2	8	High	0	482.7271
80	2	8	High	1	582.6862
81	3	1	Low	0	1099.1418
82	3	1	High	0	466.0673
83	3	1	Low	0	299.4687
84	3	1	n/a	0	NaN
85	3	1	High	1	699.3052
86	3	1	High	1	649.3257
87	3	1	High	0	1015.8425
88	3	1	Low	0	882.5636
89	3	1	High	1	399.4278
90	3	1	Low	1	1282.4002
91	3	1	Low	0	632.6658
92	3	1	High	1	316.1286
93	3	1	High	1	449.4074
94	3	1	n/a	0	NaN
95	3	1	High	0	482.7271
96	3	1	Low	1	282.8088
97	3	1	Low	0	382.768
98	3	1	High	0	282.8088
99	3	1	High	0	516.0468
100	3	1	Low	0	332.7884
101	3	1	High	1	665.9855
102	3	1	High	1	382.768
103	3	1	High	1	416.0877
104	3	1	High	0	649.3257
105	3	1	Low	1	349.4483
106	3	1	Low	0	316.1286
107	3	1	High	0	466.0673
108	3	1	Low	0	266.149
109	3	1	High	1	266.149
110	3	1	Low	1	249.4891
111	3	1	Low	1	849.2439
112	3	1	Low	0	549.3665
113	3	1	Low	0	349.4483
114	3	1	High	0	1299.06
115	3	1	High	1	566.0264
116	3	1	High	1	282.8088
117	3	1	Low	0	382.768
118	3	1	High	1	449.4074
119	3	1	High	1	915.8833
120	3	1	Low	1	416.0877
121	4	2	Low	1	1265.7403
122	4	2	Low	0	749.2848
123	4	2	Low	0	382.768
124	4	2	Low	1	499.387
125	4	2	High	1	282.8088
126	4	2	High	1	299.4687
127	4	2	Low	1	266.149
128	4	2	High	1	266.149
129	4	2	Low	1	665.9855
130	4	2	Low	1	499.387
131	4	2	Low	0	482.7271
132	4	2	Low	1	366.1081
133	4	2	Low	0	466.0673
134	4	2	Low	1	549.3665
135	4	2	High	1	349.4483
136	4	2	High	0	499.387
137	4	2	High	0	616.006
138	4	2	Low	0	616.006
139	4	2	High	1	449.4074
140	4	2	High	1	582.6862
141	4	2	n/a	0	NaN
142	4	2	Low	1	699.3052
143	4	2	n/a	0	NaN
144	4	2	High	1	316.1286
145	4	2	High	1	299.4687
146	4	2	High	1	282.8088
147	4	2	High	1	282.8088
148	4	2	Low	0	765.9446
149	4	2	Low	1	316.1286
150	4	2	Low	0	266.149
