TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	3	Low	0	399.0235
2	1	3	High	1	265.7832
3	1	3	High	1	165.853
4	1	3	Low	0	199.163
5	1	3	High	0	82.5777
6	1	3	High	0	232.4731
7	1	3	n/a	0	NaN
7	1	3	n/a	0	NaN
8	1	3	Low	0	399.0235
9	1	3	Low	0	465.6437
10	1	3	Low	1	1348.361
11	1	3	Low	0	931.9849
12	1	3	High	1	931.9849
13	1	3	n/a	0	NaN
13	1	3	n/a	0	NaN
14	1	3	Low	0	732.1244
15	1	3	Low	0	132.5429
16	1	3	High	1	565.574
17	1	3	High	0	482.2988
18	1	3	High	1	1098.5353
19	1	3	High	1	1065.2252
20	1	3	High	1	832.0546
21	1	3	High	1	399.0235
22	1	3	Low	0	665.5042
23	1	3	High	0	399.0235
24	1	3	High	0	265.7832
25	1	3	Low	0	65.9227
26	1	3	Low	0	598.8841
27	1	3	High	1	798.7446
28	1	3	Low	1	948.6399
29	1	3	High	1	365.7135
30	1	3	Low	0	765.4345
31	1	3	Low	0	981.95
32	1	3	Low	0	515.6088
33	1	3	High	1	382.3685
34	1	3	High	1	548.9189
35	1	3	Low	0	232.4731
36	1	3	Low	0	282.4383
37	1	3	High	1	448.9887
38	1	3	High	0	465.6437
39	1	3	Low	0	82.5777
40	1	3	High	0	65.9227
41	2	4	n/a	0	NaN
41	2	4	n/a	0	NaN
42	2	4	High	1	349.0584
43	2	4	High	1	349.0584
44	2	4	Low	0	215.8181
45	2	4	Low	0	15.9576
46	2	4	High	0	349.0584
47	2	4	Low	0	232.4731
48	2	4	High	1	249.1282
49	2	4	High	1	448.9887
50	2	4	Low	0	448.9887
51	2	4	High	1	498.9538
52	2	4	High	0	465.6437
53	2	4	Low	1	515.6088
54	2	4	Low	0	315.7483
55	2	4	High	1	498.9538
56	2	4	High	0	482.2988
57	2	4	Low	1	415.6786
58	2	4	High	1	115.8878
59	2	4	High	0	249.1282
60	2	4	Low	0	498.9538
61	2	4	Low	0	349.0584
62	2	4	Low	0	282.4383
63	2	4	High	1	349.0584
64	2	4	Low	1	15.9576
65	2	4	Low	1	282.4383
66	2	4	Low	0	199.163
67	2	4	Low	1	215.8181
68	2	4	High	1	249.1282
69	2	4	Low	1	1165.1555
70	2	4	Low	1	315.7483
71	2	4	Low	0	265.7832
72	2	4	Low	1	815.3996
73	2	4	High	1	415.6786
74	2	4	High	0	132.5429
75	2	4	Low	1	299.0933
76	2	4	Low	0	199.163
77	2	4	High	1	415.6786
78	2	4	Low	0	282.4383
79	2	4	Low	1	132.5429
80	2	4	Low	0	498.9538
81	3	5	High	1	315.7483
