Offer_1_tACS_rTPJ, Offer_1_tACS_rDLPFC, Offer_1_tACS_Sync, Offer_2_rTPJ, Offer_2_rDLPFC, Offer_2_Sync, Offer_3_rTPJ, Offer_3_rDLPFC, Offer_3_Sync, Offer_4_rTPJ, Offer_4_rDLPFC, Offer_4_Sync, Offer_5_rTPJ, Offer_5_rDLPFC, Offer_5_Sync
1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777777777778, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 0.8888888888888888, 1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.375, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5555555555555556, 0.2222222222222222, 0.75
1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0
0.7777777777777778, 1.0, 0.8888888888888888, 0.4444444444444444, 0.8888888888888888, 0.5, 0.4444444444444444, 0.2222222222222222, 0.5555555555555556, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111
1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
1.0, 0.7777777777777778, 0.8571428571428571, 0.7777777777777778, 0.8888888888888888, 1.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0
1.0, 1.0, 0.8888888888888888, 0.8333333333333334, 1.0, 0.75, 0.375, 0.25, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
