Subject, Neutral, Low, High
6, 0.5909090909090909, 0.5777777777777777, 0.5777777777777777
9, 0.37777777777777777, 0.3333333333333333, 0.4222222222222222
10, 0.4318181818181818, 0.4186046511627907, 0.4090909090909091
11, 0.13636363636363635, 0.09090909090909091, 0.12195121951219512
13, 0.4186046511627907, 0.4318181818181818, 0.4
14, 0.45454545454545453, 0.4666666666666667, 0.26666666666666666
15, 0.5333333333333333, 0.5555555555555556, 0.5909090909090909
16, 0.4090909090909091, 0.4444444444444444, 0.4186046511627907
19, 0.6, 0.6444444444444445, 0.6222222222222222
20, 0.3953488372093023, 0.37209302325581395, 0.36585365853658536
21, 0.3684210526315789, 0.3170731707317073, 0.425
23, 0.5, 0.358974358974359, 0.36585365853658536
