Subject, rTPJ, rDLPFC, Sync
6, 0.6, 0.5909090909090909, 0.5555555555555556
9, 0.4, 0.35555555555555557, 0.37777777777777777
10, 0.47619047619047616, 0.36363636363636365, 0.4222222222222222
11,0.12195121951219512, 0.044444444444444446, 0.18604651162790697
13, 0.4090909090909091, 0.4666666666666667, 0.37209302325581395
14, 0.3333333333333333, 0.4444444444444444, 0.4090909090909091
15, 0.6, 0.6, 0.4772727272727273
16, 0.4186046511627907, 0.4318181818181818, 0.4222222222222222
19, 0.6222222222222222, 0.6, 0.6444444444444445
20, 0.37209302325581395, 0.4, 0.358974358974359
21, 0.37777777777777777, 0.35555555555555557, 0.3793103448275862
23, 0.41025641025641024, 0.4358974358974359, 0.38095238095238093
